correct_form	morph_parse	lemma	frequency
çıkarılmamalı	Verb+Verb+Caus+Verb+Pass+Neg+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	çık	779
çıkarabildiği	Verb+Verb+Caus+Verb+Able+Pos+Adj+PastPart+P3sg	çık	779
çıkartanları	Verb+Verb+Caus+Verb+Caus+Pos+Adj+PresPart+Noun+A3pl+P3sg+Nom	çık	779
çıkarılmalar	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3pl+Pnon+Nom	çık	779
çıkartılmadı	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Neg+Past+A3sg	çık	779
çıkarmam	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+P1sg+Nom	çık	779
çıkarılacaklarını	Verb+Verb+Caus+Verb+Pass+Pos+Noun+FutPart+A3pl+P3sg+Acc	çık	779
çıkarırcasına	Verb+Verb+Caus+Pos+Aor+A3sg+Adv+AsIf	çık	779
Çıkarmaların	Verb+Verb+Caus+Pos+Noun+Inf2+A3pl+Pnon+Gen	çık	779
Çıkarmaya	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Dat	çık	779
çıkarandır	Verb+Verb+Caus+Pos+Adj+PresPart+Verb+Pres+Cop+A3sg	çık	779
çıkarmadıklarını	Verb+Verb+Caus+Neg+Noun+PastPart+A3pl+P3sg+Acc	çık	779
çıkartır	Verb+Verb+Caus+Verb+Caus+Pos+Aor+A3sg	çık	779
çıkartmasını	Verb+Verb+Caus+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Acc	çık	779
çıkaracağımız	Verb+Verb+Caus+Pos+Adj+FutPart+P1pl	çık	779
çıkarmıyor	Verb+Verb+Caus+Neg+Prog1+A3sg	çık	779
çıkarılacaktı	Verb+Verb+Caus+Verb+Pass+Pos+Fut+Past+A3sg	çık	779
Çıkarılanın	Verb+Verb+Caus+Verb+Pass+Pos+Adj+PresPart+Noun+A3sg+Pnon+Gen	çık	779
çıkarttırarak	Verb+Verb+Caus+Verb+Caus+Verb+Caus+Pos+Adv+ByDoingSo	çık	779
çıkarmaktaydı	Verb+Verb+Caus+Pos+Prog2+Past+A3sg	çık	779
Çıkarılmış	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg	çık	779
çıkarılamamaktadır	Verb+Verb+Caus+Verb+Pass+Verb+Able+Neg+Prog2+A3sg+Cop+A3sg	çık	779
çıkarılarak	Verb+Verb+Caus+Verb+Pass+Pos+Adv+ByDoingSo	çık	779
çıkartmasına	Verb+Verb+Caus+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Dat	çık	779
çıkarabilirken	Verb+Verb+Caus+Verb+Able+Pos+Aor+A3sg+Adv+While	çık	779
çıkarmadığı	Verb+Verb+Caus+Neg+Adj+PastPart+P3sg	çık	779
çıkartmamıştır	Verb+Verb+Caus+Verb+Caus+Neg+Narr+A3sg+Cop+A3sg	çık	779
çıkarılamaz	Verb+Verb+Caus+Verb+Pass+Verb+Able+Neg+Aor+A3sg	çık	779
ÇIKARTILMAMALIDIR	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Neg+Neces+A3sg+Cop+A3sg	çık	779
çıkarılırsa	Verb+Verb+Caus+Verb+Pass+Pos+Aor+Cond+A3sg	çık	779
çıkartamadığı	Verb+Verb+Caus+Verb+Caus+Verb+Able+Neg+Adj+PastPart+P3sg	çık	779
çıkarmadaki	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Loc+Adj+Rel	çık	779
çıkardığımızı	Verb+Verb+Caus+Pos+Noun+PastPart+A3sg+P1pl+Acc	çık	779
çıkarılışı	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf3+A3sg+P3sg+Nom	çık	779
çıkarılmışsa	Verb+Verb+Caus+Verb+Pass+Pos+Narr+Cond+A3sg	çık	779
çıkartmamalarını	Verb+Verb+Caus+Verb+Caus+Neg+Noun+Inf2+A3pl+P3sg+Acc	çık	779
çıkartıcı	Verb+Verb+Caus+Verb+Caus+Pos+Noun+Agt+A3sg+Pnon+Nom	çık	779
çıkartmıştılardır	Verb+Verb+Caus+Verb+Caus+Pos+Narr+Past+A3pl+Cop+A3sg	çık	779
çıkarılmış	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg	çık	779
çıkarılmakta	Verb+Verb+Caus+Verb+Pass+Pos+Prog2+A3sg	çık	779
Çıkarmasını	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Acc	çık	779
çıkaramamasına	Verb+Verb+Caus+Verb+Able+Neg+Noun+Inf2+A3sg+P3sg+Dat	çık	779
çıkarıcılığına	Verb+Verb+Caus+Pos+Noun+Agt+A3sg+Pnon+Nom+Noun+Ness+A3sg+P3sg+Dat	çık	779
Çıkartıldıkları	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Pos+Adj+PastPart+P3pl	çık	779
çıkartılana	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Pos+Adj+PresPart+Noun+A3sg+Pnon+Dat	çık	779
çıkartıldığına	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Pos+Noun+PastPart+A3sg+P3sg+Dat	çık	779
çıkarabilmiştir	Verb+Verb+Caus+Verb+Able+Pos+Narr+A3sg+Cop+A3sg	çık	779
çıkartmayı	Verb+Verb+Caus+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Acc	çık	779
çıkarabilirsiniz	Verb+Verb+Caus+Verb+Able+Pos+Aor+A2pl	çık	779
Çıkarır	Verb+Verb+Caus+Pos+Aor+A3sg	çık	779
çıkarırız	Verb+Verb+Caus+Pos+Aor+A1pl	çık	779
çıkarıyor	Verb+Verb+Caus+Pos+Prog1+A3sg	çık	779
çıkartılma	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Nom	çık	779
çıkarabilmekteydi	Verb+Verb+Caus+Verb+Able+Pos+Prog2+Past+A3sg	çık	779
çıkarılabilmesi	Verb+Verb+Caus+Verb+Pass+Verb+Able+Pos+Noun+Inf2+A3sg+P3sg+Nom	çık	779
çıkarsanız	Verb+Verb+Caus+Pos+Desr+A2pl	çık	779
Çıkarılıyor	Verb+Verb+Caus+Verb+Pass+Pos+Prog1+A3sg	çık	779
Çıkaracağı	Verb+Verb+Caus+Pos+Adj+FutPart+P3sg	çık	779
çıkarmaktadırlar	Verb+Verb+Caus+Pos+Prog2+A3sg+Cop+A3pl	çık	779
çıkarılanları	Verb+Verb+Caus+Verb+Pass+Pos+Adj+PresPart+Noun+A3pl+P3sg+Nom	çık	779
çıkarışlarına	Verb+Verb+Caus+Pos+Noun+Inf3+A3pl+P3sg+Dat	çık	779
çıkarılacaktır	Verb+Verb+Caus+Verb+Pass+Pos+Fut+A3sg+Cop+A3sg	çık	779
çıkarmadır	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom+Verb+Pres+Cop+A3sg	çık	779
Çıkarmasıyla	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Ins	çık	779
çıkartmayacak	Verb+Verb+Caus+Verb+Caus+Neg+Fut+A3sg	çık	779
çıkarabilmişti	Verb+Verb+Caus+Verb+Able+Pos+Narr+Past+A3sg	çık	779
çıkarılmamalıdır	Verb+Verb+Caus+Verb+Pass+Neg+Neces+A3sg+Cop+A3sg	çık	779
çıkarmalıydı	Verb+Verb+Caus+Pos+Neces+Past+A3sg	çık	779
çıkarılanın	Verb+Verb+Caus+Verb+Pass+Pos+Adj+PresPart+Noun+A3sg+Pnon+Gen	çık	779
çıkartılacaktır	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Pos+Fut+A3sg+Cop+A3sg	çık	779
çıkaranlara	Verb+Verb+Caus+Pos+Adj+PresPart+Noun+A3pl+Pnon+Dat	çık	779
çıkardıklarıyla	Verb+Verb+Caus+Pos+Noun+PastPart+A3pl+P3sg+Ins	çık	779
çıkartılamayan	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Verb+Able+Neg+Adj+PresPart	çık	779
çıkarılmayacağına	Verb+Verb+Caus+Verb+Pass+Neg+Noun+FutPart+A3sg+P3sg+Dat	çık	779
çıkarılış	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf3+A3sg+Pnon+Nom	çık	779
Çıkarmakta	Verb+Verb+Caus+Pos+Prog2+A3sg	çık	779
Çıkardığı	Verb+Verb+Caus+Pos+Adj+PastPart+P3sg	çık	779
çıkartmalarına	Verb+Verb+Caus+Verb+Caus+Pos+Noun+Inf2+A3pl+P3sg+Dat	çık	779
çıkarabilmişlerse	Verb+Verb+Caus+Verb+Able+Pos+Narr+A3pl+Cond	çık	779
çıkarttı	Verb+Verb+Caus+Verb+Caus+Pos+Past+A3sg	çık	779
Çıkardı	Verb+Verb+Caus+Pos+Past+A3sg	çık	779
Çıkaran	Verb+Verb+Caus+Pos+Adj+PresPart	çık	779
çıkartmıştı	Verb+Verb+Caus+Verb+Caus+Pos+Narr+Past+A3sg	çık	779
çıkarmakla	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Ins	çık	779
çıkarılamamıştır	Verb+Verb+Caus+Verb+Pass+Verb+Able+Neg+Narr+A3sg+Cop+A3sg	çık	779
çıkaracak	Verb+Verb+Caus+Pos+Fut+A3sg	çık	779
çıkarmayacaklarını	Verb+Verb+Caus+Neg+Noun+FutPart+A3pl+P3sg+Acc	çık	779
çıkaracağına	Verb+Verb+Caus+Pos+Noun+FutPart+A3sg+P3sg+Dat	çık	779
çıkartıp	Verb+Verb+Caus+Verb+Caus+Pos+Adv+AfterDoingSo	çık	779
çıkarıp	Verb+Verb+Caus+Pos+Adv+AfterDoingSo	çık	779
çıkarmayın	Verb+Verb+Caus+Neg+Imp+A2pl	çık	779
çıkarılmazsa	Verb+Verb+Caus+Verb+Pass+Neg+Aor+Cond+A3sg	çık	779
çıkarılacakları	Verb+Verb+Caus+Verb+Pass+Pos+Adj+FutPart+P3pl	çık	779
çıkardıklarında	Verb+Verb+Caus+Pos+Noun+PastPart+A3pl+P3sg+Loc	çık	779
çıkarabiliyorlar	Verb+Verb+Caus+Verb+Able+Pos+Prog1+A3pl	çık	779
çıkarttırdı	Verb+Verb+Caus+Verb+Caus+Verb+Caus+Pos+Past+A3sg	çık	779
çıkartmakla	Verb+Verb+Caus+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Ins	çık	779
çıkarıldıklarında	Verb+Verb+Caus+Verb+Pass+Pos+Noun+PastPart+A3pl+P3sg+Loc	çık	779
çıkartılacağına	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Pos+Noun+FutPart+A3sg+P3sg+Dat	çık	779
çıkartabilir	Verb+Verb+Caus+Verb+Caus+Verb+Able+Pos+Aor+A3sg	çık	779
çıkartma	Verb+Verb+Caus+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	çık	779
çıkarabilme	Verb+Verb+Caus+Verb+Able+Pos+Noun+Inf2+A3sg+Pnon+Nom	çık	779
çıkaracağını	Verb+Verb+Caus+Pos+Noun+FutPart+A3sg+P3sg+Acc	çık	779
çıkarmadıkları	Verb+Verb+Caus+Neg+Adj+PastPart+P3pl	çık	779
çıkaranın	Verb+Verb+Caus+Pos+Adj+PresPart+Noun+A3sg+Pnon+Gen	çık	779
çıkarılmadığı	Verb+Verb+Caus+Verb+Pass+Neg+Adj+PastPart+P3sg	çık	779
çıkardığım	Verb+Verb+Caus+Pos+Adj+PastPart+P1sg	çık	779
çıkaramamaktadır	Verb+Verb+Caus+Verb+Able+Neg+Prog2+A3sg+Cop+A3sg	çık	779
Çıkartması'ndan	Verb+Verb+Caus+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Apos+Abl	çık	779
çıkarabileceğini	Verb+Verb+Caus+Verb+Able+Pos+Noun+FutPart+A3sg+P3sg+Acc	çık	779
çıkartılması	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Nom	çık	779
çıkarılıyor	Verb+Verb+Caus+Verb+Pass+Pos+Prog1+A3sg	çık	779
çıkarınız	Verb+Verb+Caus+Pos+Imp+A2pl	çık	779
Çıkarmasına	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Dat	çık	779
çıkartıldığından	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Pos+Noun+PastPart+A3sg+P3sg+Abl	çık	779
çıkartılabilse	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Verb+Able+Pos+Desr+A3sg	çık	779
çıkarılmadı	Verb+Verb+Caus+Verb+Pass+Neg+Past+A3sg	çık	779
çıkarılmasıyla	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Ins	çık	779
çıkartırlardı	Verb+Verb+Caus+Verb+Caus+Pos+Aor+A3pl+Past	çık	779
çıkartılmasında	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Loc	çık	779
çıkartılmayacaktır	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Neg+Fut+A3sg+Cop+A3sg	çık	779
çıkart	Verb+Verb+Caus+Verb+Caus+Pos+Imp+A2sg	çık	779
çıkartın	Verb+Verb+Caus+Verb+Caus+Pos+Imp+A2pl	çık	779
çıkarmasıyla	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Ins	çık	779
çıkartacağı	Verb+Verb+Caus+Verb+Caus+Pos+Adj+FutPart+P3sg	çık	779
çıkartmıyoruz	Verb+Verb+Caus+Verb+Caus+Neg+Prog1+A1pl	çık	779
Çıkarıldığında	Verb+Verb+Caus+Verb+Pass+Pos+Noun+PastPart+A3sg+P3sg+Loc	çık	779
çıkarmıştı	Verb+Verb+Caus+Pos+Narr+Past+A3sg	çık	779
çıkarması'nın	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Apos+Gen	çık	779
Çıkartması'na	Verb+Verb+Caus+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Apos+Dat	çık	779
çıkarabiliyor	Verb+Verb+Caus+Verb+Able+Pos+Prog1+A3sg	çık	779
çıkarttırmak	Verb+Verb+Caus+Verb+Caus+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom	çık	779
çıkartıldıktan	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Pos+Noun+PastPart+A3sg+Pnon+Abl	çık	779
çıkartamazsınız	Verb+Verb+Caus+Verb+Caus+Verb+Able+Neg+Aor+A2pl	çık	779
çıkarılmazdı	Verb+Verb+Caus+Verb+Pass+Neg+Aor+Past+A3sg	çık	779
çıkartılamaz	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Verb+Able+Neg+Aor+A3sg	çık	779
çıkarılıp	Verb+Verb+Caus+Verb+Pass+Pos+Adv+AfterDoingSo	çık	779
Çıkarmasındaki	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Loc+Adj+Rel	çık	779
çıkarılmamış	Verb+Verb+Caus+Verb+Pass+Neg+Narr+A3sg	çık	779
çıkartmamaktır	Verb+Verb+Caus+Verb+Caus+Neg+Noun+Inf1+A3sg+Pnon+Nom+Verb+Pres+Cop+A3sg	çık	779
çıkarılmalıydı	Verb+Verb+Caus+Verb+Pass+Pos+Neces+Past+A3sg	çık	779
çıkartılmasından	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Abl	çık	779
çıkartılışını	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Pos+Noun+Inf3+A3sg+P3sg+Acc	çık	779
çıkartılmasını	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Acc	çık	779
çıkarılacağına	Verb+Verb+Caus+Verb+Pass+Pos+Noun+FutPart+A3sg+P3sg+Dat	çık	779
çıkartılıyor	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Pos+Prog1+A3sg	çık	779
çıkarmalıdır	Verb+Verb+Caus+Pos+Neces+A3sg+Cop+A3sg	çık	779
çıkartmalardan	Verb+Verb+Caus+Verb+Caus+Pos+Noun+Inf2+A3pl+Pnon+Abl	çık	779
çıkarmaktalar	Verb+Verb+Caus+Pos+Prog2+A3pl	çık	779
Çıkartması'yla	Verb+Verb+Caus+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Apos+Ins	çık	779
çıkarılmışlardır	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3pl+Cop+A3sg	çık	779
çıkarırdım	Verb+Verb+Caus+Pos+Aor+Past+A1sg	çık	779
çıkartılmamıştır	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Neg+Narr+A3sg+Cop+A3sg	çık	779
çıkartmaktadırlar	Verb+Verb+Caus+Verb+Caus+Pos+Prog2+A3sg+Cop+A3pl	çık	779
çıkarılmasında	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Loc	çık	779
çıkartılırlar	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Pos+Aor+A3pl	çık	779
çıkarılsa	Verb+Verb+Caus+Verb+Pass+Pos+Desr+A3sg	çık	779
çıkartılmışlardır	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Pos+Narr+A3pl+Cop+A3sg	çık	779
çıkartabileceği	Verb+Verb+Caus+Verb+Caus+Verb+Able+Pos+Adj+FutPart+P3sg	çık	779
Çıkarması'nı	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Apos+Acc	çık	779
çıkartılırken	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Pos+Aor+A3sg+Adv+While	çık	779
çıkartmanın	Verb+Verb+Caus+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Gen	çık	779
çıkarsa	Verb+Verb+Caus+Pos+Desr+A3sg	çık	779
çıkartılıp	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Pos+Adv+AfterDoingSo	çık	779
Çıkartılması	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Nom	çık	779
çıkarılmasını	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Acc	çık	779
çıkarılana	Verb+Verb+Caus+Verb+Pass+Pos+Adj+PresPart+Noun+A3sg+Pnon+Dat	çık	779
çıkarılmasının	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Gen	çık	779
çıkartmalarıydı	Verb+Verb+Caus+Verb+Caus+Pos+Noun+Inf2+A3pl+P3sg+Nom+Verb+Past+A3sg	çık	779
çıkarmayacak	Verb+Verb+Caus+Neg+Fut+A3sg	çık	779
çıkarılmıştı	Verb+Verb+Caus+Verb+Pass+Pos+Narr+Past+A3sg	çık	779
çıkarışı	Verb+Verb+Caus+Pos+Noun+Inf3+A3sg+P3sg+Nom	çık	779
çıkarabilmesi	Verb+Verb+Caus+Verb+Able+Pos+Noun+Inf2+A3sg+P3sg+Nom	çık	779
çıkartmıştık	Verb+Verb+Caus+Verb+Caus+Pos+Narr+Past+A1pl	çık	779
Çıkarabildiği	Verb+Verb+Caus+Verb+Able+Pos+Adj+PastPart+P3sg	çık	779
çıkarılabilecek	Verb+Verb+Caus+Verb+Pass+Verb+Able+Pos+Fut+A3sg	çık	779
çıkartmayın	Verb+Verb+Caus+Verb+Caus+Neg+Imp+A2pl	çık	779
çıkaracaklarını	Verb+Verb+Caus+Pos+Noun+FutPart+A3pl+P3sg+Acc	çık	779
çıkartırdı	Verb+Verb+Caus+Verb+Caus+Pos+Aor+Past+A3sg	çık	779
çıkarabilir	Verb+Verb+Caus+Verb+Able+Pos+Aor+A3sg	çık	779
çıkartılabilecek	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Verb+Able+Pos+Fut+A3sg	çık	779
çıkarmalarındaki	Verb+Verb+Caus+Pos+Noun+Inf2+A3pl+P3sg+Loc+Adj+Rel	çık	779
çıkartamamıştır	Verb+Verb+Caus+Verb+Caus+Verb+Able+Neg+Narr+A3sg+Cop+A3sg	çık	779
çıkartılabilirler	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Verb+Able+Pos+Aor+A3pl	çık	779
Çıkarmış	Verb+Verb+Caus+Pos+Narr+A3sg	çık	779
çıkartabilmektedir	Verb+Verb+Caus+Verb+Caus+Verb+Able+Pos+Prog2+A3sg+Cop+A3sg	çık	779
çıkarmalarında	Verb+Verb+Caus+Pos+Noun+Inf2+A3pl+P3sg+Loc	çık	779
çıkartmaksızın	Verb+Verb+Caus+Verb+Caus+Pos+Adv+WithoutHavingDoneSo	çık	779
çıkarıcılar	Verb+Verb+Caus+Pos+Noun+Agt+A3pl+Pnon+Nom	çık	779
çıkarabilmeleri	Verb+Verb+Caus+Verb+Able+Pos+Noun+Inf2+A3pl+P3sg+Nom	çık	779
