word	pos_tag	morph_parse	lemma	correct_form
birçok	Det	Det	birçok	birçok
göçebe	Adj	Adj	göçebe	göçebe
topluluğu	Noun	Noun+A3sg+P3sg+Nom	topluluk	topluluğu
yenmiş	Verb	Verb+Pos+Narr+A3sg	yen(II)	yenmiş
ya	Conj	Conj	ya	ya
da	Conj	Conj	da	da
birleştirmiş	Verb	Verb+Verb+Caus+Pos+Narr+A3sg	birleş	birleştirmiş
ve	Conj	Conj	ve	ve
onları	Pron	Pron+Demons+A3pl+Pnon+Acc	o	onları
""""	Punc	Punc	""""	""""
Moğol	Adj	Adj	Moğol	Moğol
""""	Punc	Punc	""""	""""
sosyal	Adj	Adj	sosyal	sosyal
kimliğine	Noun	Noun+A3sg+P3sg+Dat	kimlik	kimliğine
taşımıştır	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	taşı	taşımıştır
.	Punc	Punc	.	.
Orta	Noun	Noun+A3sg+Pnon+Nom	orta	Orta
Asya'daki	Noun	Noun+Prop+A3sg+Pnon+Apos+Loc+Adj+Rel	Asya	Asya'daki
Kara	Noun	Noun+A3sg+Pnon+Nom	kara	Kara
Hıtay	UnDef	UnDef	Hıtay	Hıtay
,	Punc	Punc	,	,
Kuzey	Noun	Noun+A3sg+Pnon+Nom	kuzey	Kuzey
Çin'deki	Noun	Noun+Prop+A3sg+Pnon+Apos+Loc+Adj+Rel	Çin	Çin'deki
Batı	Noun	Noun+A3sg+Pnon+Nom	Batı	Batı
Xia	UnDef	UnDef	Xia	Xia
ve	Conj	Conj	ve	ve
Jin	UnDef	UnDef	Jin	Jin
Hanedanı'nı	Noun	Noun+A3sg+P3sg+Apos+Acc	hanedan	Hanedanı'nı
ele	Noun	Noun+A3sg+Pnon+Dat	el	ele
geçirmiş	Verb	Verb+Pos+Narr+A3sg	geçir	geçirmiş
,	Punc	Punc	,	,
İran'daki	Noun	Noun+Prop+A3sg+Pnon+Apos+Loc+Adj+Rel	İran	İran'daki
Harezmşahlar	UnDef	UnDef	Harezmşahlar	Harezmşahlar
Devleti	Noun	Noun+A3sg+P3sg+Nom	devlet	Devleti
de	Conj	Conj	de	de
dahil	Noun	Noun+A3sg+Pnon+Nom	dahil	dahil
olmak	Verb	Verb+Pos+Noun+Inf1+A3sg+Pnon+Nom	ol	olmak
üzere	Postp	Postp+PCNom	üzere	üzere
birçok	Det	Det	birçok	birçok
yeri	Noun	Noun+A3sg+P3sg+Nom	yer	yeri
fethetmiştir	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	fethet	fethetmiştir
.	Punc	Punc	.	.
Avrupa	Noun	Noun+Prop+A3sg+Pnon+Nom	Avrupa	Avrupa
ve	Conj	Conj	ve	ve
Asya'daki	Noun	Noun+Prop+A3sg+Pnon+Apos+Loc+Adj+Rel	Asya	Asya'daki
hâkimiyeti	Noun	Noun+A3sg+P3sg+Nom	hâkimiyet	hâkimiyeti
;	Punc	Punc	;	;
radikal	Adj	Adj	radikal	radikal
olarak	Verb	Verb+Pos+Adv+ByDoingSo	ol	olarak
bu	Det	Det	bu	bu
bölgelerin	Noun	Noun+A3pl+Pnon+Gen	bölge	bölgelerin
demografisini	Noun	Noun+A3sg+P3sg+Acc	demografi	demografisini
ve	Conj	Conj	ve	ve
jeopolitikasını	UnDef	UnDef	jeopolitikasını	jeopolitikasını
değiştirmiştir	Verb	Verb+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	değiş	değiştirmiştir
.	Punc	Punc	.	.
Moğol	Adj	Adj	Moğol	Moğol
İmparatorluğu	Noun	Noun+A3sg+P3sg+Nom	imparatorluk	İmparatorluğu
,	Punc	Punc	,	,
günümüz	Noun	Noun+A3sg+P1pl+Nom	gün	günümüz
ülkelerinden	Noun	Noun+A3pl+P3sg+Abl	ülke	ülkelerinden
Çin	Noun	Noun+Prop+A3sg+Pnon+Nom	Çin	Çin
,	Punc	Punc	,	,
Moğolistan	Noun	Noun+Prop+A3sg+Pnon+Nom	Moğolistan	Moğolistan
,	Punc	Punc	,	,
Kore	Noun	Noun+Prop+A3sg+Pnon+Nom	Kore	Kore
,	Punc	Punc	,	,
Rusya	Noun	Noun+Prop+A3sg+Pnon+Nom	Rusya	Rusya
,	Punc	Punc	,	,
Ukrayna	Noun	Noun+Prop+A3sg+Pnon+Nom	Ukrayna	Ukrayna
,	Punc	Punc	,	,
İran	Noun	Noun+Prop+A3sg+Pnon+Nom	İran	İran
,	Punc	Punc	,	,
Azerbaycan	Noun	Noun+Prop+A3sg+Pnon+Nom	Azerbaycan	Azerbaycan
,	Punc	Punc	,	,
Ermenistan	Noun	Noun+Prop+A3sg+Pnon+Nom	Ermenistan	Ermenistan
,	Punc	Punc	,	,
Gürcistan	Noun	Noun+Prop+A3sg+Pnon+Nom	Gürcistan	Gürcistan
,	Punc	Punc	,	,
Irak	Noun	Noun+Prop+A3sg+Pnon+Nom	Irak	Irak
,	Punc	Punc	,	,
Türkiye	Noun	Noun+Prop+A3sg+Pnon+Nom	Türkiye	Türkiye
,	Punc	Punc	,	,
Kazakistan	Noun	Noun+Prop+A3sg+Pnon+Nom	Kazakistan	Kazakistan
,	Punc	Punc	,	,
Kırgızistan	Noun	Noun+Prop+A3sg+Pnon+Nom	Kırgızistan	Kırgızistan
,	Punc	Punc	,	,
Özbekistan	Noun	Noun+Prop+A3sg+Pnon+Nom	Özbekistan	Özbekistan
,	Punc	Punc	,	,
Pakistan	Noun	Noun+Prop+A3sg+Pnon+Nom	Pakistan	Pakistan
,	Punc	Punc	,	,
Macaristan	Noun	Noun+Prop+A3sg+Pnon+Nom	Macaristan	Macaristan
,	Punc	Punc	,	,
Polonya	Noun	Noun+Prop+A3sg+Pnon+Nom	Polonya	Polonya
,	Punc	Punc	,	,
Tacikistan	Noun	Noun+Prop+A3sg+Pnon+Nom	Tacikistan	Tacikistan
,	Punc	Punc	,	,
Afganistan	Noun	Noun+Prop+A3sg+Pnon+Nom	Afganistan	Afganistan
,	Punc	Punc	,	,
Türkmenistan	Noun	Noun+Prop+A3sg+Pnon+Nom	Türkmenistan	Türkmenistan
,	Punc	Punc	,	,
Moldova	Noun	Noun+Prop+A3sg+Pnon+Nom	Moldova	Moldova
ve	Conj	Conj	ve	ve
Kuveyt'in	Noun	Noun+Prop+A3sg+Pnon+Apos+Gen	Kuveyt	Kuveyt'in
neredeyse	Adv	Adv	neredeyse	neredeyse
tamamını	Noun	Noun+Prop+A3sg+P3sg+Acc	Tamam	tamamını
ele	Noun	Noun+A3sg+Pnon+Dat	el	ele
geçirmiştir	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	geçir	geçirmiştir
ve	Conj	Conj	ve	ve
Sırbistan	Noun	Noun+Prop+A3sg+Pnon+Nom	Sırbistan	Sırbistan
,	Punc	Punc	,	,
Hindistan	Noun	Noun+Prop+A3sg+Pnon+Nom	Hindistan	Hindistan
ile	Postp	Postp+PCNom	ile	ile
Bulgaristan	Noun	Noun+Prop+A3sg+Pnon+Nom	Bulgaristan	Bulgaristan
büyük	Adj	Adj	büyük	büyük
zarar	Noun	Noun+A3sg+Pnon+Nom	zarar	zarar
almıştır	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	al	almıştır
,	Punc	Punc	,	,
ancak	Conj	Conj	ancak	ancak
1242	Num	Num	1242	1242
yılında	Noun	Noun+A3sg+P3sg+Loc	yıl	yılında
Viyana'ya	Noun	Noun+Prop+A3sg+Pnon+Apos+Dat	Viyana	Viyana'ya
yaklaşan	Verb	Verb+Pos+Adj+PresPart	yaklaş	yaklaşan
yeni	Adj	Adj	yeni	yeni
Han	Noun	Noun+A3sg+Pnon+Nom	han	Han
ölmüş	Verb	Verb+Pos+Narr+A3sg	öl	ölmüş
ve	Conj	Conj	ve	ve
,	Punc	Punc	,	,
Moğollar	Noun	Noun+A3pl+Pnon+Nom	Moğol	Moğollar
gelenekleri	Noun	Noun+A3pl+P3sg+Nom	gelenek	gelenekleri
uyarınca	Postp	Postp+PCNom	uyarınca	uyarınca
yeni	Adj	Adj	yeni	yeni
bir	Det	Det	bir	bir
Han	Noun	Noun+A3sg+Pnon+Nom	han	Han
seçmek	Verb	Verb+Pos+Noun+Inf1+A3sg+Pnon+Nom	seç	seçmek
için	Postp	Postp+PCNom	için	için
geri	Adv	Adv	geri	geri
çekilmek	Verb	Verb+Verb+Pass+Pos+Noun+Inf1+A3sg+Pnon+Nom	çek	çekilmek
zorunda	Adj	Adj+Noun+A3sg+P3sg+Loc	zor	zorunda
kalmıştır	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	kal	kalmıştır
.	Punc	Punc	.	.
Bunun	Pron	Pron+Demons+A3sg+Pnon+Gen	bu	Bunun
üzerine	Noun	Noun+Prop+A3sg+P3sg+Dat	Üzer	üzerine
Avrupa	Noun	Noun+Prop+A3sg+Pnon+Nom	Avrupa	Avrupa
yaşadığı	Verb	Verb+Pos+Adj+PastPart+P3sg	yaşa	yaşadığı
Moğol	Adj	Adj	Moğol	Moğol
gazabından	Noun	Noun+A3sg+P3sg+Abl	gazap	gazabından
kurtulmuştur	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	kurtul	kurtulmuştur
.	Punc	Punc	.	.
Cengiz	Noun	Noun+Prop+A3sg+Pnon+Nom	Cengiz	Cengiz
Han	Noun	Noun+A3sg+Pnon+Nom	han	Han
,	Punc	Punc	,	,
ana	Noun	Noun+A3sg+Pnon+Nom	ana	ana
dili	Noun	Noun+A3sg+P3sg+Nom	dil	dili
Moğolca'nın	Noun	Noun+Prop+A3sg+Pnon+Apos+Gen	Moğolca	Moğolca'nın
yanında	Noun	Noun+A3sg+P3sg+Loc	yan	yanında
Bertold	UnDef	UnDef	Bertold	Bertold
Spuler'in	UnDef	UnDef	Spuler'in	Spuler'in
iddiasına	Noun	Noun+A3sg+P3sg+Dat	iddia	iddiasına
göre	Postp	Postp+PCDat	göre	göre
Göktürkçe	Noun	Noun+A3sg+Pnon+Nom	Göktürkçe	Göktürkçe
de	Conj	Conj	de	de
bilmekteydi	Verb	Verb+Pos+Prog2+Past+A3sg	bil	bilmekteydi
.	Punc	Punc	.	.
Öncülleri	Noun	Noun+A3pl+P3sg+Nom	öncül	Öncülleri
de	Conj	Conj	de	de
onun	Pron	Pron+Demons+A3sg+Pnon+Gen	o	onun
gibi	Postp	Postp+PCNom	gibi	gibi
birkaç	Det	Det	birkaç	birkaç
dil	Noun	Noun+A3sg+Pnon+Nom	dil	dil
bilmekteydi	Verb	Verb+Pos+Prog2+Past+A3sg	bil	bilmekteydi
.	Punc	Punc	.	.
Adı	Noun	Noun+A3sg+P3sg+Nom	ad(I)	Adı
""""	Punc	Punc	""""	""""
Temüǰin	UnDef	UnDef	Temüǰin	Temüǰin
""""	Punc	Punc	""""	""""
(	Punc	Punc	(	(
Türkçe	Noun	Noun+A3sg+Pnon+Nom	Türkçe	Türkçe
:	Punc	Punc	:	:
Temuçin	Noun	Noun+Prop+A3sg+Pnon+Nom	Temuçin	Temuçin
)	Punc	Punc	)	)
,	Punc	Punc	,	,
Moğolca'da	Noun	Noun+Prop+A3sg+Pnon+Apos+Loc	Moğolca	Moğolca'da
Demir	Noun	Noun+Prop+A3sg+Pnon+Nom	Demir	Demir
anlamına	Noun	Noun+A3sg+P3sg+Dat	anlam	anlamına
gelen	Verb	Verb+Pos+Adj+PresPart	gel	gelen
Temür'den	UnDef	UnDef	Temür'den	Temür'den
türemiştir	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	türe	türemiştir
.	Punc	Punc	.	.
Hayatının	Noun	Noun+A3sg+P3sg+Gen	hayat(I)	Hayatının
ilk	Adj	Adj	ilk	ilk
yılları	Noun	Noun+A3pl+P3sg+Nom	yıl	yılları
hakkında	Noun	Noun+A3sg+P3sg+Loc	Hak	hakkında
az	Adj	Adj	az	az
bilgi	Noun	Noun+A3sg+Pnon+Nom	bilgi	bilgi
vardır	Adj	Adj+Verb+Pres+Cop+A3sg	var	vardır
.	Punc	Punc	.	.
Pek	Adv	Adv	pek	Pek
az	Adj	Adj	az	az
kaynak	Noun	Noun+A3sg+Pnon+Nom	kaynak	kaynak
o	Det	Det	o	o
döneme	Noun	Noun+A3sg+Pnon+Dat	dönem	döneme
ilişkin	Postp	Postp+PCDat	ilişkin	ilişkin
bilgiler	Noun	Noun+A3pl+Pnon+Nom	bilgi	bilgiler
vermektedir	Verb	Verb+Pos+Prog2+A3sg+Cop+A3sg	ver	vermektedir
.	Punc	Punc	.	.
Küçük	Adj	Adj	küçük	Küçük
bir	Det	Det	bir	bir
kabile	Noun	Noun+A3sg+Pnon+Nom	kabile	kabile
olan	Verb	Verb+Pos+Adj+PresPart	ol	olan
kiyat	UnDef	UnDef	kiyat	kiyat
kabilesinde	Noun	Noun+A3sg+P3sg+Loc	kabile	kabilesinde
doğduğu	Verb	Verb+Pos+Adj+PastPart+P3sg	doğ	doğduğu
ve	Conj	Conj	ve	ve
babasının	Noun	Noun+A3sg+P3sg+Gen	baba	babasının
ona	Pron	Pron+Demons+A3sg+Pnon+Dat	o	ona
Temuçin	Noun	Noun+Prop+A3sg+Pnon+Nom	Temuçin	Temuçin
ismini	Noun	Noun+A3sg+P3sg+Acc	isim	ismini
onun	Pron	Pron+Demons+A3sg+Pnon+Gen	o	onun
Temuçin	Noun	Noun+Prop+A3sg+Pnon+Nom	Temuçin	Temuçin
Uge	UnDef	UnDef	Uge	Uge
isminde	Noun	Noun+A3sg+P3sg+Loc	isim	isminde
bir	Det	Det	bir	bir
lideri	Noun	Noun+A3sg+P3sg+Nom	lider	lideri
yakaladığı	Verb	Verb+Pos+Adj+PastPart+P3sg	yakala	yakaladığı
için	Postp	Postp+PCNom	için	için
verdiği	Verb	Verb+Pos+Adj+PastPart+P3sg	ver	verdiği
ileri	Noun	Noun+A3sg+Pnon+Nom	ileri	ileri
sürülmektedir	Verb	Verb+Verb+Pass+Pos+Prog2+A3sg+Cop+A3sg	sür	sürülmektedir
.	Punc	Punc	.	.
Başka	Adj	Adj	başka	Başka
bir	Det	Det	bir	bir
rivayete	Noun	Noun+A3sg+Pnon+Dat	rivayet	rivayete
göre	Postp	Postp+PCDat	göre	göre
ise	Verb	Verb+Pos+Cond+A3sg	i	ise
elinde	Noun	Noun+A3sg+P3sg+Loc	el	elinde
bir	Det	Det	bir	bir
kan	Noun	Noun+A3sg+Pnon+Nom	kan	kan
pıhtısıyla	Noun	Noun+A3sg+P3sg+Ins	pıhtı	pıhtısıyla
doğmuştur	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	doğ	doğmuştur
ki	Conj	Conj	ki	ki
bu	Det	Det	bu	bu
da	Conj	Conj	da	da
kabilenin	Noun	Noun+A3sg+Pnon+Gen	kabile	kabilenin
ileri	Noun	Noun+A3sg+Pnon+Nom	ileri	ileri
gelenleri	Verb	Verb+Pos+Adj+PresPart+Noun+A3pl+P3sg+Nom	gel	gelenleri
tarafından	Noun	Noun+A3sg+P3sg+Abl	taraf	tarafından
savaşçı	Noun	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom	savaş	savaşçı
ve	Conj	Conj	ve	ve
muzaffer	Noun	Noun+Prop+A3sg+Pnon+Nom	Muzaffer	muzaffer
bir	Det	Det	bir	bir
şahsiyet	Noun	Noun+A3sg+Pnon+Nom	şahsiyet	şahsiyet
olacağına	Verb	Verb+Pos+Noun+FutPart+A3sg+P3sg+Dat	ol	olacağına
yorulmuştur	Verb	Verb+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	yor	yorulmuştur
.	Punc	Punc	.	.
Moğol	Adj	Adj	Moğol	Moğol
Devleti'nin	Noun	Noun+A3sg+P3sg+Apos+Gen	devlet	Devleti'nin
son	Adj	Adj	son	son
hükümdarı	Noun	Noun+A3sg+P3sg+Nom	hükümdar	hükümdarı
Kutala'nın	UnDef	UnDef	Kutala'nın	Kutala'nın
yeğeni	Noun	Noun+A3sg+P3sg+Nom	yeğen	yeğeni
,	Punc	Punc	,	,
Börçigin'in	UnDef	UnDef	Börçigin'in	Börçigin'in
lideri	Noun	Noun+A3sg+P3sg+Nom	lider	lideri
Yesügey'in	Noun	Noun+Prop+A3sg+Pnon+Apos+Gen	Yesügey	Yesügey'in
büyük	Adj	Adj	büyük	büyük
oğludur	Noun	Noun+A3sg+P3sg+Nom+Verb+Pres+Cop+A3sg	oğul	oğludur
,	Punc	Punc	,	,
annesi	Noun	Noun+A3sg+P3sg+Nom	anne	annesi
Höelin	UnDef	UnDef	Höelin	Höelin
,	Punc	Punc	,	,
Onggirat	UnDef	UnDef	Onggirat	Onggirat
boyunun	Noun	Noun+A3sg+P3sg+Gen	boy	boyunun
Olkunat	UnDef	UnDef	Olkunat	Olkunat
kabilesindendi	Noun	Noun+A3sg+P3sg+Abl+Verb+Past+A3sg	kabile	kabilesindendi
.	Punc	Punc	.	.
Orta	Noun	Noun+A3sg+Pnon+Nom	orta	Orta
Asya'da	Noun	Noun+Prop+A3sg+Pnon+Apos+Loc	Asya	Asya'da
göçebe	Adj	Adj	göçebe	göçebe
hayatı	Noun	Noun+A3sg+P3sg+Nom	hayat(I)	hayatı
yaşamışlardı	Verb	Verb+Pos+Narr+A3pl+Past	yaşa	yaşamışlardı
.	Punc	Punc	.	.
Cengiz	Noun	Noun+Prop+A3sg+Pnon+Nom	Cengiz	Cengiz
babası	Noun	Noun+A3sg+P3sg+Nom	baba	babası
tarafından	Noun	Noun+A3sg+P3sg+Abl	taraf	tarafından
Kabul	Noun	Noun+A3sg+Pnon+Nom	kabul	Kabul
Han	Noun	Noun+A3sg+Pnon+Nom	han	Han
,	Punc	Punc	,	,
Ambagai	UnDef	UnDef	Ambagai	Ambagai
ve	Conj	Conj	ve	ve
Kutula	Verb	Verb+Pos+Imp+A2sg	kutula	Kutula
Han'ın	Noun	Noun+Prop+A3sg+Pnon+Apos+Gen	Han	Han'ın
akrabasıydı	Noun	Noun+A3sg+P3sg+Nom+Verb+Past+A3sg	akraba	akrabasıydı
.	Punc	Punc	.	.
Bulundukları	Verb	Verb+Pos+Adj+PastPart+P3pl	bulun	Bulundukları
Moğol	Adj	Adj	Moğol	Moğol
Devleti	Noun	Noun+A3sg+P3sg+Nom	devlet	Devleti
,	Punc	Punc	,	,
Jin	UnDef	UnDef	Jin	Jin
Hanedanı	Noun	Noun+A3sg+P3sg+Nom	hanedan	Hanedanı
altındaydı	Noun	Noun+A3sg+P3sg+Loc+Verb+Past+A3sg	alt	altındaydı
ve	Conj	Conj	ve	ve
Tatarlar'ı	Noun	Noun+A3pl+Pnon+Apos+Acc	Tatar	Tatarlar'ı
desteklemeleriyle	Verb	Verb+Pos+Noun+Inf2+A3pl+P3sg+Ins	destekle	desteklemeleriyle
1161'de	Num	Num+Noun+Apos+A3sg+Pnon+Loc	1161	1161'de
Kabul	Noun	Noun+A3sg+Pnon+Nom	kabul	Kabul
Han	Noun	Noun+A3sg+Pnon+Nom	han	Han
yokedildi	UnDef	UnDef	yokedildi	yokedildi
.	Punc	Punc	.	.
Babası	Noun	Noun+A3sg+P3sg+Nom	baba	Babası
Yeşügey	UnDef	UnDef	Yeşügey	Yeşügey
dağılan	Verb	Verb+Pos+Adj+PresPart	dağıl	dağılan
Moğol	Adj	Adj	Moğol	Moğol
kabilelerinin	Noun	Noun+A3pl+P3sg+Gen	kabile	kabilelerinin
başına	Noun	Noun+A3sg+P3sg+Dat	baş	başına
geçmiş	Noun	Noun+A3sg+Pnon+Nom	geçmiş	geçmiş
,	Punc	Punc	,	,
ancak	Conj	Conj	ancak	ancak
Tayiçyut	UnDef	UnDef	Tayiçyut	Tayiçyut
kabilesi	Noun	Noun+A3sg+P3sg+Nom	kabile	kabilesi
ile	Postp	Postp+PCNom	ile	ile
rekabet	Noun	Noun+A3sg+Pnon+Nom	rekabet	rekabet
yaşıyordu	Verb	Verb+Pos+Prog1+Past+A3sg	yaşa	yaşıyordu
.	Punc	Punc	.	.
1161'den	Num	Num+Noun+Apos+A3sg+Pnon+Abl	1161	1161'den
sonra	Postp	Postp+PCAbl	sonra	sonra
Tatarlar	Noun	Noun+A3pl+Pnon+Nom	Tatar	Tatarlar
çok	Adv	Adv	çok	çok
güçlenince	Noun	Noun+A3sg+Pnon+Nom+Verb+Acquire+Pos+Adv+When	güç	güçlenince
,	Punc	Punc	,	,
Çin	Noun	Noun+Prop+A3sg+Pnon+Nom	Çin	Çin
desteğini	Noun	Noun+A3sg+P3sg+Acc	destek	desteğini
Tatarlardan	Noun	Noun+A3pl+Pnon+Abl	Tatar	Tatarlardan
Keraitlere	UnDef	UnDef	Keraitlere	Keraitlere
çevirdi	Verb	Verb+Pos+Past+A3sg	çevir	çevirdi
.	Punc	Punc	.	.
Temuçin'in	Noun	Noun+Prop+A3sg+Pnon+Apos+Gen	Temuçin	Temuçin'in
3	Num	Num	3	3
erkek	Noun	Noun+A3sg+Pnon+Nom	erkek	erkek
kardeşi	Noun	Noun+A3sg+P3sg+Nom	kardeş	kardeşi
Hazar	Noun	Noun+Prop+A3sg+Pnon+Nom	Hazar	Hazar
Kasar	Verb	Verb+Pos+Aor+A3sg	kas	Kasar
,	Punc	Punc	,	,
Kaçiun	UnDef	UnDef	Kaçiun	Kaçiun
ve	Conj	Conj	ve	ve
Temüge'nin	UnDef	UnDef	Temüge'nin	Temüge'nin
yanı	Noun	Noun+A3sg+P3sg+Nom	yan	yanı
sıra	Noun	Noun+A3sg+Pnon+Nom	sıra	sıra
bir	Det	Det	bir	bir
kız	Noun	Noun+A3sg+Pnon+Nom	kız	kız
kardeşi	Noun	Noun+A3sg+P3sg+Nom	kardeş	kardeşi
