word	pos_tag	morph_parse	lemma	correct_form
Börte	Verb	Verb+Pos+Opt+A3sg	bört	Börte
yaptı	Verb	Verb+Pos+Past+A3sg	yap	yaptı
kaçırıldı	Verb	Verb+Verb+Pass+Pos+Past+A3sg	kaçır	kaçırıldı
olan	Verb	Verb+Pos+Adj+PresPart	ol	olan
kurtardı	Verb	Verb+Pos+Past+A3sg	kurtar	kurtardı
Börte	Verb	Verb+Pos+Opt+A3sg	bört	Börte
uyarak	Verb	Verb+Pos+Adv+ByDoingSo	uy	uyarak
oldu	Verb	Verb+Pos+Past+A3sg	ol	oldu
kaçırıldıktan	Verb	Verb+Verb+Pass+Pos+Noun+PastPart+A3sg+Pnon+Abl	kaçır	kaçırıldıktan
doğdu	Verb	Verb+Pos+Past+A3sg	doğ	doğdu
olduğu	Verb	Verb+Pos+Adj+PastPart+P3sg	ol	olduğu
getirdi	Verb	Verb+Pos+Past+A3sg	getir	getirdi
birleştirdi	Verb	Verb+Verb+Caus+Pos+Past+A3sg	birleş	birleştirdi
yazıldı	Verb	Verb+Verb+Pass+Pos+Past+A3sg	yaz	yazıldı
idi	Verb	Verb+Pos+Past+A3sg	i	idi
olarak	Verb	Verb+Pos+Adv+ByDoingSo	ol	olarak
biliniyordu	Verb	Verb+Verb+Pass+Pos+Prog1+Past+A3sg	bil	biliniyordu
alacağı	Verb	Verb+Pos+Adj+FutPart+P3sg	al	alacağı
yazıyordu	Verb	Verb+Pos+Prog1+Past+A3sg	yaz	yazıyordu
olduğu	Verb	Verb+Pos+Adj+PastPart+P3sg	ol	olduğu
bilinmiyordu	Verb	Verb+Verb+Pass+Neg+Prog1+Past+A3sg	bil	bilinmiyordu
yaratmadı	Verb	Verb+Neg+Past+A3sg	yarat	yaratmadı
uygulanmasından	Verb	Verb+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Abl	uygula	uygulanmasından
olarak	Verb	Verb+Pos+Adv+ByDoingSo	ol	olarak
düşen	Verb	Verb+Pos+Adj+PresPart	düş	düşen
vermezse	Verb	Verb+Neg+Aor+Cond+A3sg	ver	vermezse
öldürülüyordu	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Prog1+Past+A3sg	öl	öldürülüyordu
kirletenlerin	Verb	Verb+Pos+Adj+PresPart+Noun+A3pl+Pnon+Gen	kirlet	kirletenlerin
yıpranmadan	Verb	Verb+Pos+Noun+Inf2+A3sg+Pnon+Abl	yıpran	yıpranmadan
yıkanmasının	Verb	Verb+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Gen	yıka	yıkanmasının
yasaklanmasına	Verb	Verb+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Dat	yasakla	yasaklanmasına
olarak	Verb	Verb+Pos+Adv+ByDoingSo	ol	olarak
yükselişi	Verb	Verb+Pos+Noun+Inf3+A3sg+P3sg+Nom	yüksel	yükselişi
bildirmeye	Verb	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Dat	bil	bildirmeye
gitmişti	Verb	Verb+Pos+Narr+Past+A3sg	git	gitmişti
gördüğünü	Verb	Verb+Pos+Noun+PastPart+A3sg+P3sg+Acc	gör	gördüğünü
hatırlayan	Verb	Verb+Pos+Adj+PresPart	hatırla	hatırlayan
aldı	Verb	Verb+Pos+Past+A3sg	al	aldı
olmuşlar	Verb	Verb+Pos+Narr+A3pl	ol	olmuşlar
girmiştir	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	gir	girmiştir
demesinden	Verb	Verb+Pos+Noun+Inf2+A3sg+P3sg+Abl	de	demesinden
uğradı	Verb	Verb+Pos+Past+A3sg	uğra	uğradı
bırakarak	Verb	Verb+Pos+Adv+ByDoingSo	bırak	bırakarak
kurtulabildi	Verb	Verb+Verb+Able+Pos+Past+A3sg	kurtul	kurtulabildi
yenip	Verb	Verb+Pos+Adv+AfterDoingSo	yen(II)	yenip
kurtardılar	Verb	Verb+Pos+Past+A3pl	kurtar	kurtardılar
bozuşması	Verb	Verb+Pos+Noun+Inf2+A3sg+P3sg+Nom	bozuş	bozuşması
sürmedi	Verb	Verb+Neg+Past+A3sg	sür	sürmedi
olarak	Verb	Verb+Pos+Adv+ByDoingSo	ol	olarak
yaşayan	Verb	Verb+Pos+Adj+PresPart	yaşa	yaşayan
ayrıldığını	Verb	Verb+Verb+Pass+Pos+Noun+PastPart+A3sg+P3sg+Acc	ayır	ayrıldığını
anlatır	Verb	Verb+Pos+Aor+A3sg	anlat	anlatır
giderek	Verb	Verb+Pos+Adv+ByDoingSo	git	giderek
konaklamışlardır	Verb	Verb+Pos+Narr+A3pl+Cop+A3sg	konakla	konaklamışlardır
öldüren	Verb	Verb+Verb+Caus+Pos+Adj+PresPart	öl	öldüren
kazandığı	Verb	Verb+Pos+Adj+PastPart+P3sg	kazan	kazandığı
savaşmıştır	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	savaş	savaşmıştır
almıştır	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	al	almıştır
büyüyen	Verb	Verb+Pos+Adj+PresPart	büyü	büyüyen
kıskanmış	Verb	Verb+Pos+Narr+A3sg	kıskan	kıskanmış
yapmıştı	Verb	Verb+Pos+Narr+Past+A3sg	yap	yapmıştı
vermiş	Verb	Verb+Pos+Narr+A3sg	ver	vermiş
olsa	Verb	Verb+Pos+Desr+A3sg	ol	olsa
geçmişti	Verb	Verb+Pos+Narr+Past+A3sg	geç	geçmişti
öğrenince	Verb	Verb+Pos+Adv+When	öğren	öğrenince
etti	Verb	Verb+Pos+Past+A3sg	et	etti
uzaklaşma	Verb	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom	uzaklaş	uzaklaşma
ise	Verb	Verb+Pos+Cond+A3sg	i	ise
vermek	Verb	Verb+Pos+Noun+Inf1+A3sg+Pnon+Nom	ver	vermek
istememesiyle	Verb	Verb+Neg+Noun+Inf2+A3sg+P3sg+Ins	iste	istememesiyle
başladı	Verb	Verb+Pos+Past+A3sg	başla	başladı
düşen	Verb	Verb+Pos+Adj+PresPart	düş	düşen
doğdu	Verb	Verb+Pos+Past+A3sg	doğ	doğdu
olarak	Verb	Verb+Pos+Adv+ByDoingSo	ol	olarak
geldiler	Verb	Verb+Pos+Past+A3pl	gel	geldiler
almasıyla	Verb	Verb+Pos+Noun+Inf2+A3sg+P3sg+Ins	al	almasıyla
uğratıldı	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	uğra	uğratıldı
ise	Verb	Verb+Pos+Cond+A3sg	i	ise
geldi	Verb	Verb+Pos+Past+A3sg	gel	geldi
kaçmış	Verb	Verb+Pos+Narr+A3sg	kaç	kaçmış
sığınmıştı	Verb	Verb+Pos+Narr+Past+A3sg	sığın	sığınmıştı
olmadılar	Verb	Verb+Neg+Past+A3pl	ol	olmadılar
desteklemeyi	Verb	Verb+Pos+Noun+Inf2+A3sg+Pnon+Acc	destekle	desteklemeyi
ettiler	Verb	Verb+Pos+Past+A3pl	et	ettiler
olarak	Verb	Verb+Pos+Adv+ByDoingSo	ol	olarak
seçti	Verb	Verb+Pos+Past+A3sg	seç	seçti
oldu	Verb	Verb+Pos+Past+A3sg	ol	oldu
kurup	Verb	Verb+Pos+Adv+AfterDoingSo	kur	kurup
açtı	Verb	Verb+Pos+Past+A3sg	aç	açtı
ayrıldı	Verb	Verb+Verb+Pass+Pos+Past+A3sg	ayır	ayrıldı
tanınan	Verb	Verb+Verb+Pass+Pos+Adj+PresPart	tanı	tanınan
vardı	Verb	Verb+Pos+Past+A3sg	var	vardı
yenildi	Verb	Verb+Verb+Pass+Pos+Past+A3sg	yen(II)	yenildi
düştü	Verb	Verb+Pos+Past+A3sg	düş	düştü
olmalarını	Verb	Verb+Pos+Noun+Inf2+A3pl+P3sg+Acc	ol	olmalarını
olmasını	Verb	Verb+Pos+Noun+Inf2+A3sg+P3sg+Acc	ol	olmasını
etti	Verb	Verb+Pos+Past+A3sg	et	etti
kırılarak	Verb	Verb+Verb+Pass+Pos+Adv+ByDoingSo	kır	kırılarak
istediğini	Verb	Verb+Pos+Noun+PastPart+A3sg+P3sg+Acc	iste	istediğini
iletti	Verb	Verb+Pos+Past+A3sg	ilet	iletti
olan	Verb	Verb+Pos+Adj+PresPart	ol	olan
uğratıldı	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	uğra	uğratıldı
öldürüldü	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	öl	öldürüldü
oldu	Verb	Verb+Pos+Past+A3sg	ol	oldu
yenilmesi	Verb	Verb+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Nom	yen(II)	yenilmesi
yaptı	Verb	Verb+Pos+Past+A3sg	yap	yaptı
birleşerek	Verb	Verb+Pos+Adv+ByDoingSo	birleş	birleşerek
oldular	Verb	Verb+Pos+Past+A3pl	ol	oldular
birleştirdi	Verb	Verb+Verb+Caus+Pos+Past+A3sg	birleş	birleştirdi
birleşemeyen	Verb	Verb+Verb+Able+Neg+Adj+PresPart	birleş	birleşemeyen
birleştirmiş	Verb	Verb+Verb+Caus+Pos+Narr+A3sg	birleş	birleştirmiş
olmuştur	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	ol	olmuştur
toplanmasıyla	Verb	Verb+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Ins	topla	toplanmasıyla
aldı	Verb	Verb+Pos+Past+A3sg	al	aldı
öldükten	Verb	Verb+Pos+Noun+PastPart+A3sg+Pnon+Abl	öl	öldükten
alamasa	Verb	Verb+Verb+Able+Neg+Desr+A3sg	al	alamasa
alınca	Verb	Verb+Pos+Adv+When	al	alınca
verdi	Verb	Verb+Pos+Past+A3sg	ver	verdi
birleşme	Verb	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom	birleş	birleşme
savaşan	Verb	Verb+Pos+Adj+PresPart	savaş	savaşan
sağlamış	Verb	Verb+Pos+Narr+A3sg	sağla	sağlamış
olsa	Verb	Verb+Pos+Desr+A3sg	ol	olsa
olan	Verb	Verb+Pos+Adj+PresPart	ol	olan
etti	Verb	Verb+Pos+Past+A3sg	et	etti
Birleşmenin	Verb	Verb+Pos+Noun+Inf2+A3sg+Pnon+Gen	birleş	Birleşmenin
olduğu	Verb	Verb+Pos+Adj+PastPart+P3sg	ol	olduğu
yaşarken	Verb	Verb+Pos+Aor+A3sg+Adv+While	yaşa	yaşarken
idi	Verb	Verb+Pos+Past+A3sg	i	idi
olmuş	Verb	Verb+Pos+Narr+A3sg	ol	olmuş
yazıyor	Verb	Verb+Pos+Prog1+A3sg	yaz	yazıyor
birleşmesiyle	Verb	Verb+Pos+Noun+Inf2+A3sg+P3sg+Ins	birleş	birleşmesiyle
kurulan	Verb	Verb+Verb+Pass+Pos+Adj+PresPart	kur	kurulan
izledi	Verb	Verb+Pos+Past+A3sg	izle	izledi
kullanıldığını	Verb	Verb+Verb+Pass+Pos+Noun+PastPart+A3sg+P3sg+Acc	kullan	kullanıldığını
görünce	Verb	Verb+Pos+Adv+When	gör	görünce
aldı	Verb	Verb+Pos+Past+A3sg	al	aldı
kullanılmaya	Verb	Verb+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Dat	kullan	kullanılmaya
başlandı	Verb	Verb+Verb+Pass+Pos+Past+A3sg	başla	başlandı
işleyişinin	Verb	Verb+Pos+Noun+Inf3+A3sg+P3sg+Gen	işle	işleyişinin
geçmiştir	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	geç	geçmiştir
alan	Verb	Verb+Pos+Adj+PresPart	al	alan
açarak	Verb	Verb+Pos+Adv+ByDoingSo	aç	açarak
kuşattı	Verb	Verb+Pos+Past+A3sg	kuşat	kuşattı
evlendirse	Verb	Verb+Verb+Caus+Pos+Desr+A3sg	evlen	evlendirse
sürmedi	Verb	Verb+Neg+Past+A3sg	sür	sürmedi
aldı	Verb	Verb+Pos+Past+A3sg	al	aldı
geçirdiğinden	Verb	Verb+Pos+Noun+PastPart+A3sg+P3sg+Abl	geçir	geçirdiğinden
olmak	Verb	Verb+Pos+Noun+Inf1+A3sg+Pnon+Nom	ol	olmak
gönderdi	Verb	Verb+Pos+Past+A3sg	gönder	gönderdi
Gelen	Verb	Verb+Pos+Adj+PresPart	gel	Gelen
yapan	Verb	Verb+Pos+Adj+PresPart	yap	yapan
gönderdi	Verb	Verb+Pos+Past+A3sg	gönder	gönderdi
hazırlanan	Verb	Verb+Verb+Pass+Pos+Adj+PresPart	hazırla	hazırlanan
uğradı	Verb	Verb+Pos+Past+A3sg	uğra	uğradı
olmasını	Verb	Verb+Pos+Noun+Inf2+A3sg+P3sg+Acc	ol	olmasını
istedi	Verb	Verb+Pos+Past+A3sg	iste	istedi
ileten	Verb	Verb+Pos+Adj+PresPart	ilet	ileten
öldürerek	Verb	Verb+Verb+Caus+Pos+Adv+ByDoingSo	öl	öldürerek
hazırladı	Verb	Verb+Pos+Past+A3sg	hazırla	hazırladı
kaldırmak	Verb	Verb+Pos+Noun+Inf1+A3sg+Pnon+Nom	kaldır	kaldırmak
gönderdi	Verb	Verb+Pos+Past+A3sg	gönder	gönderdi
korkarak	Verb	Verb+Pos+Adv+ByDoingSo	kork	korkarak
kaçtı	Verb	Verb+Pos+Past+A3sg	kaç	kaçtı
yakalanarak	Verb	Verb+Verb+Pass+Pos+Adv+ByDoingSo	yakala	yakalanarak
öldürüldü	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	öl	öldürüldü
kapılıp	Verb	Verb+Verb+Pass+Pos+Adv+AfterDoingSo	kap	kapılıp
alıp	Verb	Verb+Pos+Adv+AfterDoingSo	al	alıp
çekildi	Verb	Verb+Verb+Pass+Pos+Past+A3sg	çek	çekildi
bakış	Verb	Verb+Pos+Noun+Inf3+A3sg+Pnon+Nom	bak	bakış
geçirdi	Verb	Verb+Pos+Past+A3sg	geçir	geçirdi
kuşatma	Verb	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom	kuşat	kuşatma
sürünce	Verb	Verb+Pos+Adv+When	sür	sürünce
bıraktı	Verb	Verb+Pos+Past+A3sg	bırak	bıraktı
geçti	Verb	Verb+Pos+Past+A3sg	geç	geçti
oldu	Verb	Verb+Pos+Past+A3sg	ol	oldu
koydu	Verb	Verb+Pos+Past+A3sg	koy	koydu
oldu	Verb	Verb+Pos+Past+A3sg	ol	oldu
kuşattı	Verb	Verb+Pos+Past+A3sg	kuşat	kuşattı
çekilmesiyle	Verb	Verb+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Ins	çek	çekilmesiyle
oldu	Verb	Verb+Pos+Past+A3sg	ol	oldu
yakılıp	Verb	Verb+Verb+Pass+Pos+Adv+AfterDoingSo	yak	yakılıp
yıkıldı	Verb	Verb+Verb+Pass+Pos+Past+A3sg	yık	yıkıldı
geçtikten	Verb	Verb+Pos+Noun+PastPart+A3sg+Pnon+Abl	geç	geçtikten
oldu	Verb	Verb+Pos+Past+A3sg	ol	oldu
öldürten	Verb	Verb+Verb+Caus+Verb+Caus+Pos+Adj+PresPart	öl	öldürten
eritilmiş	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg	eri	eritilmiş
dökülerek	Verb	Verb+Verb+Pass+Pos+Adv+ByDoingSo	dök	dökülerek
öldürüldü	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	öl	öldürüldü
etti	Verb	Verb+Pos+Past+A3sg	et	etti
geçirdikten	Verb	Verb+Pos+Noun+PastPart+A3sg+Pnon+Abl	geçir	geçirdikten
yıkılmış	Verb	Verb+Verb+Pass+Pos+Narr+A3sg	yık	yıkılmış
edilmiştir	Verb	Verb+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	et	edilmiştir
kuşatmasının	Verb	Verb+Pos+Noun+Inf2+A3sg+P3sg+Gen	kuşat	kuşatmasının
oldu	Verb	Verb+Pos+Past+A3sg	ol	oldu
geçirdi	Verb	Verb+Pos+Past+A3sg	geçir	geçirdi
kaçışına	Verb	Verb+Pos+Noun+Inf3+A3sg+P3sg+Dat	kaç	kaçışına
ederken	Verb	Verb+Pos+Aor+A3sg+Adv+While	et	ederken
gönderdi	Verb	Verb+Pos+Past+A3sg	gönder	gönderdi
kovaladı	Verb	Verb+Pos+Past+A3sg	kovala	kovaladı
gönderdi	Verb	Verb+Pos+Past+A3sg	gönder	gönderdi
gönderdi	Verb	Verb+Pos+Past+A3sg	gönder	gönderdi
kuşatmadan	Verb	Verb+Pos+Noun+Inf2+A3sg+Pnon+Abl	kuşat	kuşatmadan
oldu	Verb	Verb+Pos+Past+A3sg	ol	oldu
olan	Verb	Verb+Pos+Adj+PresPart	ol	olan
ettirmiştir	Verb	Verb+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	et	ettirmiştir
bakış	Verb	Verb+Pos+Noun+Inf3+A3sg+Pnon+Nom	bak	bakış
olarak	Verb	Verb+Pos+Adv+ByDoingSo	ol	olarak
görmektedirler	Verb	Verb+Pos+Prog2+A3sg+Cop+A3pl	gör	görmektedirler
ise	Verb	Verb+Pos+Cond+A3sg	i	ise
tanımlar	Verb	Verb+Pos+Aor+A3sg	tanımla	tanımlar
olarak	Verb	Verb+Pos+Adv+ByDoingSo	ol	olarak
nitelendirir	Verb	Verb+Verb+Caus+Pos+Aor+A3sg	nitelen	nitelendirir
etti	Verb	Verb+Pos+Past+A3sg	et	etti
