verb_lemma	verb_freq	caus_lemma	caus_freq
evlen	9119	zayıfla	332.0
başar	9065	anımsa	308.0
say	8848	konuşlan	307.0
dayan	8803	havalan	303.0
bas	8800	koş	298.0
koy	8531	biçimlen	296.0
bak	8503	kes	291.0
anlaş	8472	kayna	291.0
etkile	8318	bin	287.0
ilerle	8289	yavaşla	284.0
an	8205	sön	280.0
yetiş	8139	ilerle	274.0
duy	8131	gecik	268.0
uğra	8003	küçül	258.0
imzala	7983	hafifle	255.0
uza	7705	sız	250.0
incele	7693	düşün	247.0
kaydet	7646	yücel	245.0
dönüş	7500	çağrış	243.0
inan	7451	yapış	238.0
bekle	7429	inan	231.0
ata	7392	çek	229.0
destekle	7341	kız	229.0
kaldır	7309	buluş	226.0
çal	7303	paylaş	224.0
öğren	7170	bağdaş	213.0
ara	7138	kur	212.0
kaç	7050	kuvvetlen	212.0
üstlen	7013	yumuşa	212.0
yakala	6934	ver	210.0
büyü	6808	hisset	206.0
azal	6632	yık	204.0
kurtul	6588	yatış	204.0
kapa	6538	aşın	202.0
ekle	6476	yaklaş	202.0
tartış	6327	yakış	189.0
sev	6297	kızar	186.0
in	6282	çürü	180.0
yay	6234	topla	170.0
bit	6143	don	168.0
seslen	6143	rahatla	166.0
canlan	6083	özen	165.0
kes	6014	cesaretlen	163.0
vur	5980	eşleş	162.0
görün	5969	at	161.0
er	5856	alış	156.0
karşılaş	5775	çal	152.0
ele	5731	hazırla	152.0
sal	5229	eğlen	145.0
kurtar	5212	gez	141.0
davran	5163	çöker	138.0
karşıla	5146	dinle	136.0
tasarla	5128	ağaçlan	134.0
çatış	5101	sev	133.0
kuşat	5082	sus	129.0
kır	5081	ye	118.0
kon(I)	5075	ısla	117.0
keşfet	5040	yağ	117.0
sergile	5031	gevşe	117.0
otur	5017	eğ	115.0
rastla	4925	gül	114.0
planla	4837	kaynaş	113.0
yık	4829	bilinçlen	111.0
tanış	4804	bulaş	110.0
ayaklan	4801	aksa	109.0
besle	4767	tutukla	106.0
böl	4705	otla	103.0
uç	4567	uçur	102.0
kapsa	4514	boğ	100.0
karış	4506	aç	100.0
genişle	4346	dinlen	99.0
sırala	4294	din	97.0
reddet	4219	sap	97.0
götür	4172	sığ	96.0
boz	4109	yanıl	96.0
savaş	4037	koy	96.0
yansı	4026	uzlaş	95.0
paylaş	4025	yıl	95.0
bahset	3989	dik	93.0
uyarla	3944	dal	91.0
anla	3911	parla	89.0
engelle	3855	dolaş	88.0
benze	3850	bölüş	88.0
çarp	3843	dolan	88.0
ilgilen	3835	kopar	87.0
aktar	3721	ara	85.0
patla	3692	unut	85.0
çevir	3687	sikle	80.0
barın	3628	kaybet	79.0
edin	3609	cay	78.0
tutukla	3564	uyu	76.0
çiz	3547	karar	75.0
yönel	3484	konuş	75.0
ye	3477	kamaş	74.0
çöz	3471	yayınla	74.0
dol	3406	kıs	71.0
ak	3391	azmet	69.0
öner	3294	imzala	69.0
çevril	3264	çarpış	69.0
dağıl	3212	silahsızlan	68.0
sakla	3158	söyle	67.0
duyur	3141	tutuş	67.0
yaklaş	3130	tatlan	66.0
dağıt	3126	kabar	66.0
kalk	3103	taçlan	65.0
düşür	3077	ergi	65.0
yağ	3066	savuş	63.0
diren	3050	sulan	62.0
uy	3037	teşkilatlan	62.0
uğraş	3031	benimse	60.0
artır	3002	yakala	60.0
benimse	2911	seç	60.0
değ	2896	incel	59.0
yitir	2887	kullan	59.0
hesapla	2864	iliş	58.0
yak	2853	ayaklan	58.0
aş	2807	hareketlen	58.0
uzaklaş	2781	kalkın	58.0
suçla	2774	gerile	57.0
dök	2761	uğraş	54.0
zorla	2736	em	53.0
kavuş	2725	sök	52.0
türe	2716	sevin	52.0
kıl	2699	yayımla	52.0
kutla	2679	terle	52.0
san	2669	damla	51.0
yarış	2656	izle	51.0
bestele	2635	es	48.0
önle	2631	yüz	48.0
atla	2616	dokun	47.0
sok	2608	heyecanlan	47.0
yarala	2582	boz	47.0
yorumla	2525	taşı	47.0
eleştir	2514	kıl	46.0
kaynaklan	2503	çağır	46.0
kaçır	2482	sinirlen	46.0
öde	2472	de	45.0
yasakla	2439	çiftleş	45.0
yan	2433	geçin	45.0
çarpış	2394	şenlen	45.0
yenile	2360	sun	45.0
vazgeç	2359	geçir	44.0
hisset	2314	apar	44.0
tüket	2294	endişelen	44.0
yat	2287	bırak	43.0
sor	2282	kaydet	42.0
giriş	2256	kaldır	42.0
yargıla	2246	ağla	41.0
ölç	2238	öde	40.0
unut	2226	şiddetlen	39.0
kaybol	2207	sıçra	39.0
çök	2203	uygula	39.0
kapla	2193	alevlen	38.0
algıla	2160	çök	37.0
derle	2158	yüreklen	37.0
buluş	2147	barış	36.0
kirala	2125	yak	36.0
onayla	2122	seyrel	35.0
koş	2118	saç	35.0
göm	2117	öfkelen	35.0
çağır	2114	çimlen	35.0
dolaş	2074	onayla	35.0
yükle	2061	değ	33.0
yönlendir	2026	alçal	33.0
sapta	2016	vur	33.0
öngör	2007	onar	33.0
uyan	1974	zehirle	33.0
sahnele	1974	akset	32.0
del	1971	kaz	32.0
kay	1948	fışkır	32.0
çağrıl	1927	coş	32.0
kısal	1927	tat	31.0
başvur	1922	uyuş	31.0
kanıtla	1906	bahset	31.0
harca	1876	koşuş	31.0
amaçla	1837	as	30.0
nitelen	1832	utan	30.0
örgütle	1829	yarış	29.0
dinle	1826	tırman	29.0
gözlemle	1822	kara	28.0
sar	1817	delir	28.0
parçala	1808	titre	28.0
eriş	1803	aşır	28.0
gözle	1789	bağla	28.0
avla	1763	esne	28.0
hatırla	1749	acı	27.0
sula	1727	yeşillen	27.0
esinle	1707	it	27.0
gez	1695	düzenle	27.0
yüz	1692	çiz	27.0
beğen	1690	dök	27.0
dik	1675	var	26.0
düzel	1651	serinle	26.0
vurgula	1636	ekle	26.0
takıl	1635	çevir	26.0
güçlen	1626	gücen	26.0
dene	1615	sek	25.0
boşa	1610	boya	25.0
as	1577	geçiş	25.0
iç	1572	ol	25.0
sıkış	1563	vasıflan	24.0
öğret	1536	nemlen	24.0
fırla	1526	tamamla	24.0
fethet	1516	bul	24.0
ilet	1486	yuvarla	24.0
kap	1456	göm	24.0
devret	1454	bürün	23.0
kork	1447	sez	23.0
doğur	1443	şımar	23.0
dinlen	1433	sersemle	23.0
kalkın	1417	kazı	22.0
sığın	1404	eriş	22.0
temizle	1397	kana	22.0
depola	1396	çatla	22.0
görüş	1382	kıskan	22.0
yet	1354	titreş	22.0
betimle	1339	kon(I)	22.0
gözük	1337	ger	22.0
em	1336	dövüş	21.0
süsle	1333	kaçır	21.0
tüken	1331	ağar	21.0
eri	1315	affet	21.0
yolla	1314	hapset	21.0
kısıtla	1312	tak	21.0
hedefle	1307	edin	20.0
oyla	1284	bez	20.0
ada	1280	bit	20.0
çoğal	1274	çökel	20.0
tekrarla	1270	kır	19.0
bin	1268	sil	19.0
kop	1260	çekiş	19.0
emret	1249	beğen	18.0
it	1248	ever	18.0
sorgula	1239	bulan	18.0
sil	1236	çıldır	18.0
uyar	1231	yanaş	18.0
odakla	1223	bastır	17.0
tak	1217	isle	17.0
denetle	1217	eski	17.0
pazarla	1210	bitiş	17.0
doğrula	1204	dalgalan	16.0
soruştur	1194	kaygılan	16.0
ayarla	1186	ekşi	15.0
döv	1180	bula	15.0
kov	1178	elle	15.0
yara	1174	kus	15.0
bat	1171	kızış	15.0
zayıfla	1160	gölgelen	15.0
dokun	1149	naklet	15.0
gecik	1144	doğur	15.0
programla	1137	kuşkulan	15.0
gider	1136	gönder	15.0
pişir	1135	yükle	14.0
kuru	1112	döv	14.0
eşleş	1111	bileş	14.0
defnet	1110	neşelen	14.0
faydalan	1106	atış	14.0
gizle	1088	benzeş	14.0
püskür	1086	körel	13.0
donat	1064	telaşlan	13.0
eğ	1051	doğrula	13.0
tepki	1038	azlet	13.0
birik	1038	gör	13.0
varsay	1024	çak	13.0
kaçın	1014	çözün	13.0
boşalt	1012	kırbaçla	12.0
sürükle	1007	incele	12.0
sınırla	1006	görüş	12.0
çekiş	990	kov	12.0
eğit	982	ada	12.0
aydınlat	982	az	11.0
andır	979	kıy	11.0
ısıt	969	katlet	11.0
güncelle	961	mele	11.0
gerile	946	iv	11.0
devral	934	temizle	11.0
seyret	931	çöz	11.0
ört	923	belle	11.0
güven	915	döşe	11.0
dile	915	bak	11.0
yağmala	899	oyla	10.0
kopar	898	savaş	10.0
ateşle	884	bağır	10.0
çözümle	872	ez	10.0
ünle	863	küs	10.0
bağışla	861	bağışla	10.0
hoşlan	861	yeşer	10.0
alış	850	örtüş	10.0
boya	847	duygulan	10.0
boğ	845	gülümse	10.0
batır	838	yenile	9.0
zehirle	838	neticelen	9.0
tırman	835	ferahla	9.0
uyu	833	yut	9.0
naklet	832	yağmala	9.0
bombala	828	kıpırda	9.0
ısın	828	köpür	9.0
ayrış	822	çoksa	9.0
uzlaş	820	ısır	9.0
görüntüle	810	tüt	9.0
diz	808	dikleş	9.0
ez	807	ısın	9.0
kana	802	ağrı	9.0
ertele	799	durakla	8.0
kodla	799	sat	8.0
sız	798	çakış	8.0
feshet	796	say	8.0
don	779	dağıt	8.0
ger	772	hastalan	8.0
aydınlan	768	sakın	8.0
bulaş	766	sorgula	8.0
ilişkilendir	765	defnet	8.0
dal	763	gururlan	8.0
şaşır	759	tara	8.0
resmet	756	sar	8.0
şifrele	745	inle	8.0
um	744	tutun	8.0
simgele	733	anlat	8.0
katlet	732	feshet	7.0
karşılaştır	731	mevzilen	7.0
haberleş	728	genleş	7.0
değin	723	gir	7.0
kavra	720	üşü	7.0
çevrele	719	ürper	7.0
öv	717	parçala	7.0
ağla	713	ertele	7.0
küçül	713	sol	7.0
yıka	708	kabullen	7.0
çiftleş	704	ucuzla	7.0
sakatla	703	katış	7.0
onar	696	çiğne	7.0
azlet	693	seyret	7.0
tutun	691	kapla	7.0
güt	686	kutuplaş	7.0
çözün	676	ayıl	7.0
hapset	671	ezberle	7.0
aşın	668	lezzetlen	6.0
kesiş	667	seğir	6.0
sus	665	sor	6.0
sök	664	harca	6.0
devril	662	güven	6.0
devir	650	ufal	6.0
kayna	650	bık	6.0
özetle	647	diz	6.0
göç	647	üleş	6.0
affet	645	hançerle	6.0
arın	640	hırslan	6.0
indirge	636	iste	6.0
sars	635	tasarla	6.0
yavaşla	633	süslen	6.0
sıçra	632	esinlen	6.0
boşal	629	buruş	6.0
yar	629	ör	6.0
sön	625	tokuş	6.0
kaz	623	kokla	5.0
kız	620	göçer	5.0
konuşlan	619	paslan	5.0
parla	619	tiksin	5.0
konakla	601	sula	5.0
saç	592	gıcırda	5.0
bürün	591	belirt	5.0
toparla	587	sok	5.0
oy	584	salgıla	5.0
çekin	583	sağla	5.0
salgıla	582	boşa	5.0
katlan	581	heveslen	5.0
ispatla	574	yasakla	5.0
gül	572	tanıt	5.0
kastet	571	düşür	5.0
iv	570	öt	4.0
yapış	569	solu	4.0
kıyasla	552	kaynaklan	4.0
işit	549	sürü	4.0
çürü	545	yorumla	4.0
bağır	544	tekrarla	4.0
ör	539	odaklaş	4.0
noktala	534	irkil	4.0
havalan	531	haberleş	4.0
kaynaş	519	zıpla	4.0
işaretle	517	sesle	4.0
hükmet	510	öp	4.0
nitele	509	usan	4.0
atfet	506	keyiflen	4.0
geçin	503	haczet	4.0
pekiş	499	yargıla	4.0
ek	496	zannet	4.0
üz	496	oy	4.0
kopyala	489	ışı	4.0
hastalan	487	düze	4.0
yut	473	kökleş	4.0
ser	470	sık	4.0
sına	470	kavra	4.0
yatır	470	marjinalleş	4.0
salla	466	del	4.0
tetikle	466	faydalan	4.0
eğlen	464	kokulan	4.0
onurlan	462	uçukla	4.0
aldat	461	düzle	4.0
süz	460	keşfet	4.0
biçimlen	459	ılı	4.0
zannet	458	devret	4.0
aşağıla	456	tıkla	4.0
dışla	451	sün	4.0
piş	450	giyin	4.0
döşe	449	yan	4.0
yum	448	sığın	4.0
yığ	448	şakla	4.0
kaydol	445	boşalt	3.0
bük	442	aş	3.0
yinele	441	tıngırda	3.0
gözet	441	sürt	3.0
kına	436	özümse	3.0
belgele	434	yaşar	3.0
ışı	434	bereketlen	3.0
yanaş	433	hortla	3.0
yumuşa	430	araştır	3.0
yetin	427	hopla	3.0
sin	427	kotar	3.0
tap	427	kapış	3.0
daral	423	şişmanla	3.0
beze	422	imren	3.0
dolan	421	sarar	3.0
ısır	420	hazmet	3.0
dövüş	417	süsle	3.0
soğu	411	ene	3.0
anımsa	410	açın	3.0
sürtün	410	denetle	3.0
çiğne	394	sürün	3.0
soy	394	çatış	3.0
bur	390	kesiş	3.0
kan	388	sahnele	3.0
uçur	388	yamul	3.0
kas	384	çözüş	3.0
düğ	381	yasa	3.0
soyutla	379	uyar	3.0
tapın	378	uslan	3.0
sol	374	yadırga	3.0
dengele	368	pisle	3.0
sıkıl	367	böl	3.0
yazış	365	kişne	3.0
yumurtla	362	soy	3.0
harmanla	361	ciltle	3.0
yor	358	dilen	3.0
ağırla	351	şüphelen	3.0
öp	350	kırış	3.0
dölle	349	ata	3.0
kabullen	347	kımılda	3.0
kovala	346	çınla	2.0
kurgula	345	kaşan	2.0
giyin	344	sigortala	2.0
gözetle	344	bestele	2.0
dalgalan	343	etkile	2.0
soğut	341	güreş	2.0
uyuş	338	alakalan	2.0
tıka	338	ek	2.0
kıy	338	konakla	2.0
kızar	337	güneşlen	2.0
es	337	tınla	2.0
modelle	336	ümitlen	2.0
önemse	334	doku	2.0
taş	333	ele	2.0
soğur	327	tık	2.0
sap	327	kümelen	2.0
kalkış	325	somur	2.0
rahatla	324	kovala	2.0
bağdaş	322	semir	2.0
tara	320	rastla	2.0
yuvarla	319	yönet	2.0
sapla	315	hislen	2.0
yakış	314	balla	2.0
çak	314	geber	2.0
gevşe	311	üslen	2.0
örtüş	308	iç	2.0
kus	307	sürükle	2.0
kışkırt	307	sapla	2.0
korkut	306	kudur	2.0
irdele	304	afalla	2.0
hizala	304	kilitle	2.0
nişanla	304	sıyır	2.0
tutuş	303	doy	2.0
hafifle	303	kaşın	2.0
biç	303	yükseltgen	2.0
kutsa	301	iğren	2.0
şüphelen	300	artır	2.0
şiş	299	soyun	2.0
yardımlaş	298	kutsa	2.0
sark	293	şahlan	2.0
kilitle	292	şenel	2.0
alla	290	taşla	2.0
alçal	289	ışılda	2.0
bula	289	duraksa	2.0
sık	288	dağla	2.0
arıt	287	uzat	2.0
ısla	282	yassıl	2.0
aksa	281	dola	2.0
yalvar	277	engelle	2.0
kıskan	277	değin	2.0
karar	273	donat	2.0
yücel	268	vazgeçir	2.0
güreş	268	süz	2.0
sığ	267	depreş	2.0
örnekle	266	yolla	2.0
çakış	264	duyumsa	2.0
acı	263	sakla	2.0
silk	262	tüylen	2.0
yanıl	260	devin	2.0
sevin	260	gocun	2.0
tıkla	259	götür	2.0
yatış	259	yarat	2.0
küçümse	257	darbet	2.0
öğüt	256	hararetlen	2.0
katet	256	yığ	2.0
sınıfla	254	yay	2.0
bayıl	254	ispatla	2.0
salıver	249	zedele	2.0
çağrış	249	atlat	1.0
çabala	249	vazgeç	1.0
yakın	249	üz	1.0
yalanla	248	tıkırda	1.0
kıvrıl	248	karıncalan	1.0
yırt	248	beze	1.0
doy	245	kal	1.0
çeliş	245	sansürle	1.0
taşla	245	özetle	1.0
zikret	243	boğazla	1.0
özle	242	ört	1.0
teşkilatlan	240	yumurtla	1.0
durakla	240	aksır	1.0
titre	240	çatallan	1.0
yıpran	236	selamla	1.0
tertiple	235	batır	1.0
aşıla	234	şıngırda	1.0
hallet	233	içir	1.0
akla	231	darıl	1.0
kıs	231	ölç	1.0
zamanla	230	avla	1.0
tep	229	gizle	1.0
özen	229	yudumla	1.0
barış	227	tüken	1.0
sı	226	tanımla	1.0
kazın	225	tartakla	1.0
paketle	224	gezin	1.0
danış	217	pırtla	1.0
soyun	216	yuhala	1.0
zedele	216	kibirlen	1.0
abart	216	çatırda	1.0
din	215	gerçekle	1.0
sıyrıl	214	neşret	1.0
kuvvetlen	212	öpüş	1.0
boğuş	212	parılda	1.0
tiple	211	evril	1.0
oksitle	210	sokuş	1.0
serp	210	puslan	1.0
diril	206	tozlan	1.0
akıt	206	ocu	1.0
dür	205	zımparala	1.0
sakın	204	zıngırda	1.0
yalıt	204	tıka	1.0
haşla	203	boğuş	1.0
kazı	202	pulla	1.0
yeğle	202	sürç	1.0
üfle	201	dirilt	1.0
ayıkla	201	zorla	1.0
sek	201	vazet	1.0
lağvet	200	resimle	1.0
terle	199	çıtla	1.0
kabar	199	şişle	1.0
zıpla	198	taşın	1.0
şiddetlen	197	doğ	1.0
çıldır	196	kışla	1.0
tat	194	sızdır	1.0
öfkelen	191	zincirle	1.0
bıçakla	190	seviş	1.0
endişelen	189	yavrula	1.0
lanetle	189	bocala	1.0
eski	189	çerçevele	1.0
yu	189	nihayetlen	1.0
bölüş	188	pörtle	1.0
damıt	188	kıvılcımlan	1.0
yıl	187	ürü	1.0
buyur	187	yapraklan	1.0
evril	187	acık	1.0
öpüş	186	vuruş	1.0
hesaplaş	186	cisimlen	1.0
süpür	185	üstlen	1.0
garantile	183	doğrul	1.0
ergi	183	kurgula	1.0
kirlet	183	kutla	1.0
cesaretlen	182	hakket	1.0
başkaldır	181	dene	1.0
emzir	181	hüzünlen	1.0
silahsızlan	181	özle	1.0
dirilt	181	dışla	1.0
takın	179	belgele	1.0
gülümse	178	önemse	1.0
yıprat	177	yalanla	1.0
çırp	177	korkut	1.0
kamulaştır	176	resmet	1.0
yanıtla	176	mayınla	1.0
gezin	176	aşağıla	1.0
utan	175	eyle	1.0
büyüle	173	yıpran	1.0
cevapla	172	tart	1.0
ever	168	bileyle	1.0
puanla	168	aşıla	1.0
eyle	168	demirle	1.0
ezberle	165	tomur	1.0
otla	164	mühürle	1.0
incel	163	katet	1.0
eşitle	163	bombala	1.0
sömür	162	gürle	1.0
arzula	161	yoğur	1.0
bilinçlen	160	tartış	1.0
cay	159	bile	1.0
oyala	158	örgütle	1.0
katla	158	işit	1.0
doğra	157	karşıla	1.0
sez	157	aydınlan	1.0
sıva	156	parselle	1.0
esirge	156	kucaklaş	1.0
alevlen	155	yatır	1.0
kenetle	152	şapırda	1.0
demirle	152	tap	1.0
kuşkulan	152	özümle	1.0
seviş	151	ihtiyarla	1.0
çatla	149	kanır	1.0
kavur	149	damgala	1.0
sansürle	149	meylet	1.0
sav	148	eşle	1.0
klonla	147	durul	1.0
yadsı	147	öv	1.0
çimlen	147	davran	1.0
az	146	hışırda	1.0
selamla	144	aktar	1.0
delir	144	horla	1.0
bık	143	bayatla	1.0
kolla	143	akıt	1.0
sürü	142	büzüş	1.0
mayala	142	sızla	1.0
sürtüş	140	bitir	1.0
çöker	140	pürüzlen	1.0
tamla	138	yar	1.0
alıkoy	138	kıvır	1.0
kok	138	oynat	1.0
fışkır	138	mürekkeple	1.0
ağaçlan	137	tep	1.0
genleş	137	reddet	1.0
etiketle	137	gevre	1.0
daralt	137	yağla	1.0
mektuplaş	134	algıla	1.0
doyur	133	kurtar	1.0
ona	132	asfaltla	1.0
yasla	132	betimle	1.0
becer	131	yat	1.0
yen(I)	130	takırda	1.0
kovuştur	130	nikâhla	1.0
kavrul	130	yit	1.0
cezbet	127	gözük	1.0
haykır	127	bur	1.0
resimle	126	uçuş	1.0
listele	126	kıvran	1.0
pompala	126	koru	1.0
kırp	125	kederlen	1.0
yağla	125	kalkış	1.0
rahatsızlan	124	tıkış	1.0
yont	124	çarpıt	1.0
alkışla	122	işe	1.0
benzeş	122	duyur	1.0
üslen	122	serp	1.0
yükseltgen	121	kamplaş	1.0
dizile	120	uyarla	1.0
gereksin	120	boşat	1.0
tart	118	kanıtla	1.0
çarpıt	117	biç	1.0
körükle	116	tanıtla	1.0
ısmarla	116	çeliş	1.0
tuzakla	115	hesapla	1.0
toprakla	115	ayarla	1.0
bahşet	114	eleştir	1.0
yer	114		
karala	113		
sivril	112		
esne	112		
savrul	112		
buy	111		
etki	111		
övün	110		
titreş	109		
der	109		
yasa	108		
neşret	106		
kuşan	106		
atış	106		
apar	106		
dala	105		
azmet	104		
addet	103		
şaş	102		
mahvet	102		
değerle	100		
kundakla	99		
büz	99		
kucakla	99		
zonkla	99		
yedekle	98		
doğrult	98		
incit	98		
damla	98		
vazgeçir	98		
sürt	97		
mevzilen	97		
mühürle	96		
savur	96		
bunal	96		
buda	94		
dayat	94		
arşivle	94		
ışınla	94		
hırpala	93		
çeşitle	93		
öt	93		
genelle	93		
özümse	92		
bayılt	92		
frenle	91		
filizle	91		
mumyala	91		
burk	91		
coş	91		
solu	90		
kokla	90		
tümle	90		
damgala	89		
yakınsa	89		
çökel	89		
uğurla	89		
kışla	89		
hapsol	88		
çalkala	87		
yeşer	87		
daya	87		
tükür	86		
eksil	85		
kutuplaş	85		
kamaş	84		
devşir	84		
hicvet	84		
indükle	84		
istifle	83		
bert	83		
yoğrul	83		
kapış	83		
donan	82		
sikle	81		
fırınla	81		
perçinle	81		
eşle	81		
gölgele	80		
kümelen	79		
doku	79		
iliş	79		
ağar	79		
bile	79		
kızış	78		
umursa	78		
azarla	78		
turla	77		
örtün	77		
şakı	77		
müjdele	77		
susa	76		
kayır	76		
çel	76		
kötüle	76		
ov	75		
ışılda	75		
yoğur	75		
raporla	74		
şişir	74		
körel	73		
küs	73		
yadırga	72		
gübrele	71		
yala	71		
taçlan	71		
fısılda	71		
taşır	70		
alıntıla	69		
tanıtla	69		
yuvala	69		
göğüsle	68		
ilaçla	68		
tatlan	68		
vakfet	68		
aşer	67		
sarar	67		
üşü	67		
öğütle	66		
neticelen	65		
savuş	65		
makyajla	65		
tuzla	65		
tavla	65		
kemir	64		
içir	64		
güneşle	64		
sulan	64		
tanıla	64		
torpille	64		
yol	63		
dilimle	63		
serpiştir	63		
eğir	63		
kıpırda	63		
usan	63		
stokla	62		
serinle	62		
sönümle	61		
vedalaş	61		
tazele	61		
koç	60		
fotoğrafla	60		
gücen	60		
paslan	59		
kaygılan	59		
inle	59		
zincirle	59		
dona	59		
yavrula	59		
sağ	59		
mahmuzla	59		
elver	58		
ayıl	58		
azımsa	58		
hareketlen	58		
duraksa	57		
ikile	57		
aşır	57		
ayart	56		
bocala	55		
yakar	55		
maskele	55		
seyrel	55		
zulmet	54		
çınla	54		
eklemle	54		
kireçle	54		
vadet	54		
şenlen	54		
arızalan	53		
çat	53		
havla	53		
sırtla	53		
düşle	53		
pozla	52		
bütünle	52		
ufala	51		
sataş	51		
presle	51		
içerle	51		
katalogla	51		
kükre	50		
yapraklan	50		
yun	50		
cilala	50		
ürk	50		
aldan	50		
sıyır	50		
mahvol	50		
dire	49		
kırbaçla	49		
şişele	49		
yort	49		
yankıla	48		
okşa	48		
ölçekle	48		
şükret	48		
yelten	48		
parılda	48		
kıvran	48		
melezle	48		
isle	48		
bölümle	48		
heyecanlan	47		
kurşunla	47		
uçuş	47		
ölçüş	46		
sinirlen	46		
düğümle	46		
rendele	46		
asfaltla	46		
bordala	45		
akset	45		
arala	45		
işe	44		
ekşi	44		
tabakla	44		
demle	44		
güdümle	44		
köpür	44		
kucaklaş	44		
çaprazla	43		
kümele	43		
incin	43		
kıvır	43		
ıskala	42		
horla	42		
sarkıt	42		
tüt	42		
bitiş	42		
bez	42		
kotar	42		
dizginle	42		
yaşar	42		
gerçekle	42		
kak	41		
çırpın	41		
öykün	41		
telaşlan	41		
lekele	41		
kara	41		
ürküt	41		
il	41		
ulu	40		
yoksun	40		
diret	40		
tüne	40		
yeşillen	40		
kaşı	40		
yüreklen	40		
baltala	40		
uslan	40		
tersin	40		
lehimle	40		
devin	39		
ucuzla	39		
tekmele	39		
eksilt	39		
buna	39		
fırçala	39		
montajla	38		
konumla	38		
kon(II)	38		
gev	38		
ambalajla	38		
nemlen	38		
mırıldan	38		
akaçla	38		
buzlan	38		
bileş	37		
doğrul	37		
ıraksa	37		
kökleş	37		
hazmet	37		
büyült	37		
alıkonul	37		
koşuş	37		
tiksin	37		
yuhala	37		
taşın	37		
perdele	36		
grupla	36		
sersemle	36		
postala	36		
dola	36		
tomurcuklan	35		
duyumsa	35		
geçiş	35		
ölçümle	35		
tütsüle	34		
tık	34		
kar	34		
iğnele	34		
ayıpla	34		
sarmala	34		
düz	34		
emekle	34		
kımılda	33		
harla	33		
eş	33		
ota	33		
kaçış	33		
acık	33		
çatallan	33		
iğren	32		
palazla	32		
eğril	32		
hançerle	32		
ağrı	32		
boğumla	32		
öksür	32		
kamçıla	31		
sün	31		
yeniş	31		
duygulan	31		
tırmala	31		
yit	31		
şımar	31		
evir	31		
mıknatıslan	31		
sigortala	30		
bun	30		
avut	30		
sabırsızlan	30		
meylet	30		
sayıkla	30		
tasla	30		
mükâfatlandır	30		
gürle	30		
beyazlat	29		
gıdıkla	29		
sabret	29		
pus	29		
doluş	29		
tökezle	29		
irkil	29		
hopla	28		
kokuş	28		
didiş	28		
yed	28		
vuruş	28		
sızla	27		
hakket	27		
uslamla	27		
yokla	27		
sın	27		
karıncalan	27		
