caus_lemma	caus_freq	caus_proportion	verb_lemma	verb_freq
kıs	71.0	0.307	kıs	231
azmet	69.0	0.663	azmet	104
çarpış	69.0	0.029	çarpış	2394
imzala	69.0	0.009	imzala	7983
silahsızlan	68.0	0.376	silahsızlan	181
tutuş	67.0	0.221	tutuş	303
söyle	67.0	0.003	söyle	22361
kabar	66.0	0.332	kabar	199
tatlan	66.0	0.971	tatlan	68
ergi	65.0	0.355	ergi	183
taçlan	65.0	0.915	taçlan	71
savuş	63.0	0.969	savuş	65
sulan	62.0	0.969	sulan	64
teşkilatlan	62.0	0.258	teşkilatlan	240
yakala	60.0	0.009	yakala	6934
benimse	60.0	0.021	benimse	2911
seç	60.0	0.003	seç	21787
incel	59.0	0.362	incel	163
kullan	59.0	0.001	kullan	84770
hareketlen	58.0	1.0	hareketlen	58
iliş	58.0	0.734	iliş	79
ayaklan	58.0	0.012	ayaklan	4801
kalkın	58.0	0.041	kalkın	1417
gerile	57.0	0.06	gerile	946
uğraş	54.0	0.018	uğraş	3031
em	53.0	0.04	em	1336
yayımla	52.0	0.004	yayımla	14510
sök	52.0	0.078	sök	664
sevin	52.0	0.2	sevin	260
terle	52.0	0.261	terle	199
izle	51.0	0.005	izle	11219
damla	51.0	0.52	damla	98
yüz	48.0	0.028	yüz	1692
es	48.0	0.142	es	337
dokun	47.0	0.041	dokun	1149
boz	47.0	0.011	boz	4109
taşı	47.0	0.002	taşı	23340
heyecanlan	47.0	1.0	heyecanlan	47
sinirlen	46.0	1.0	sinirlen	46
kıl	46.0	0.017	kıl	2699
çağır	46.0	0.022	çağır	2114
sun	45.0	0.004	sun	12428
de	45.0	0.002	de	28370
geçin	45.0	0.089	geçin	503
şenlen	45.0	0.833	şenlen	54
çiftleş	45.0	0.064	çiftleş	704
endişelen	44.0	0.233	endişelen	189
apar	44.0	0.415	apar	106
geçir	44.0	0.002	geçir	21676
bırak	43.0	0.002	bırak	17664
kaldır	42.0	0.006	kaldır	7309
kaydet	42.0	0.005	kaydet	7646
ağla	41.0	0.058	ağla	713
öde	40.0	0.016	öde	2472
şiddetlen	39.0	0.198	şiddetlen	197
sıçra	39.0	0.062	sıçra	632
uygula	39.0	0.004	uygula	9182
alevlen	38.0	0.245	alevlen	155
yüreklen	37.0	0.925	yüreklen	40
çök	37.0	0.017	çök	2203
yak	36.0	0.013	yak	2853
barış	36.0	0.159	barış	227
öfkelen	35.0	0.183	öfkelen	191
çimlen	35.0	0.238	çimlen	147
saç	35.0	0.059	saç	592
seyrel	35.0	0.636	seyrel	55
onayla	35.0	0.016	onayla	2122
alçal	33.0	0.114	alçal	289
zehirle	33.0	0.039	zehirle	838
onar	33.0	0.047	onar	696
değ	33.0	0.011	değ	2896
vur	33.0	0.006	vur	5980
coş	32.0	0.352	coş	91
fışkır	32.0	0.232	fışkır	138
akset	32.0	0.711	akset	45
kaz	32.0	0.051	kaz	623
koşuş	31.0	0.838	koşuş	37
uyuş	31.0	0.092	uyuş	338
tat	31.0	0.16	tat	194
bahset	31.0	0.008	bahset	3989
utan	30.0	0.171	utan	175
as	30.0	0.019	as	1577
yarış	29.0	0.011	yarış	2656
tırman	29.0	0.035	tırman	835
kara	28.0	0.683	kara	41
bağla	28.0	0.003	bağla	9866
delir	28.0	0.194	delir	144
esne	28.0	0.25	esne	112
titre	28.0	0.117	titre	240
aşır	28.0	0.491	aşır	57
dök	27.0	0.01	dök	2761
yeşillen	27.0	0.675	yeşillen	40
it	27.0	0.022	it	1248
çiz	27.0	0.008	çiz	3547
düzenle	27.0	0.001	düzenle	23552
acı	27.0	0.103	acı	263
serinle	26.0	0.419	serinle	62
var	26.0	0.002	var	10454
ekle	26.0	0.004	ekle	6476
gücen	26.0	0.433	gücen	60
çevir	26.0	0.007	çevir	3687
boya	25.0	0.03	boya	847
geçiş	25.0	0.714	geçiş	35
ol	25.0	0.0	ol	725240
sek	25.0	0.124	sek	201
bul	24.0	0.001	bul	19054
vasıflan	24.0	0.96	vasıflan	25
yuvarla	24.0	0.075	yuvarla	319
göm	24.0	0.011	göm	2117
nemlen	24.0	0.632	nemlen	38
tamamla	24.0	0.002	tamamla	14867
şımar	23.0	0.742	şımar	31
sersemle	23.0	0.639	sersemle	36
sez	23.0	0.146	sez	157
bürün	23.0	0.039	bürün	591
çatla	22.0	0.148	çatla	149
ger	22.0	0.028	ger	772
kazı	22.0	0.109	kazı	202
eriş	22.0	0.012	eriş	1803
kıskan	22.0	0.079	kıskan	277
kon(I)	22.0	0.004	kon(I)	5075
titreş	22.0	0.202	titreş	109
kana	22.0	0.027	kana	802
hapset	21.0	0.031	hapset	671
kaçır	21.0	0.008	kaçır	2482
affet	21.0	0.033	affet	645
tak	21.0	0.017	tak	1217
ağar	21.0	0.266	ağar	79
dövüş	21.0	0.05	dövüş	417
edin	20.0	0.006	edin	3609
bit	20.0	0.003	bit	6143
bez	20.0	0.476	bez	42
çökel	20.0	0.225	çökel	89
çekiş	19.0	0.019	çekiş	990
kır	19.0	0.004	kır	5081
sil	19.0	0.015	sil	1236
beğen	18.0	0.011	beğen	1690
ever	18.0	0.107	ever	168
yanaş	18.0	0.042	yanaş	433
bulan	18.0	1.0	bulan	18
çıldır	18.0	0.092	çıldır	196
isle	17.0	0.354	isle	48
bitiş	17.0	0.405	bitiş	42
bastır	17.0	1.0	bastır	17
eski	17.0	0.09	eski	189
dalgalan	16.0	0.047	dalgalan	343
kaygılan	16.0	0.271	kaygılan	59
gönder	15.0	0.001	gönder	14056
kuşkulan	15.0	0.099	kuşkulan	152
ekşi	15.0	0.341	ekşi	44
kızış	15.0	0.192	kızış	78
gölgelen	15.0	1.0	gölgelen	15
bula	15.0	0.052	bula	289
doğur	15.0	0.01	doğur	1443
elle	15.0	0.789	elle	19
kus	15.0	0.049	kus	307
naklet	15.0	0.018	naklet	832
yükle	14.0	0.007	yükle	2061
benzeş	14.0	0.115	benzeş	122
neşelen	14.0	0.7	neşelen	20
döv	14.0	0.012	döv	1180
atış	14.0	0.132	atış	106
bileş	14.0	0.378	bileş	37
körel	13.0	0.178	körel	73
telaşlan	13.0	0.317	telaşlan	41
çak	13.0	0.041	çak	314
doğrula	13.0	0.011	doğrula	1204
gör	13.0	0.0	gör	49930
azlet	13.0	0.019	azlet	693
çözün	13.0	0.019	çözün	676
kırbaçla	12.0	0.245	kırbaçla	49
incele	12.0	0.002	incele	7693
kov	12.0	0.01	kov	1178
görüş	12.0	0.009	görüş	1382
ada	12.0	0.009	ada	1280
çöz	11.0	0.003	çöz	3471
döşe	11.0	0.024	döşe	449
temizle	11.0	0.008	temizle	1397
bak	11.0	0.001	bak	8503
katlet	11.0	0.015	katlet	732
kıy	11.0	0.033	kıy	338
mele	11.0	0.423	mele	26
az	11.0	0.075	az	146
belle	11.0	0.423	belle	26
iv	11.0	0.019	iv	570
ez	10.0	0.012	ez	807
bağışla	10.0	0.012	bağışla	861
bağır	10.0	0.018	bağır	544
küs	10.0	0.137	küs	73
oyla	10.0	0.008	oyla	1284
örtüş	10.0	0.032	örtüş	308
savaş	10.0	0.002	savaş	4037
gülümse	10.0	0.056	gülümse	178
yeşer	10.0	0.115	yeşer	87
duygulan	10.0	0.323	duygulan	31
yağmala	9.0	0.01	yağmala	899
köpür	9.0	0.205	köpür	44
ferahla	9.0	0.529	ferahla	17
tüt	9.0	0.214	tüt	42
dikleş	9.0	0.409	dikleş	22
kıpırda	9.0	0.143	kıpırda	63
ısın	9.0	0.011	ısın	828
çoksa	9.0	1.0	çoksa	9
ısır	9.0	0.021	ısır	420
yenile	9.0	0.004	yenile	2360
ağrı	9.0	0.281	ağrı	32
neticelen	9.0	0.138	neticelen	65
yut	9.0	0.019	yut	473
sat	8.0	0.001	sat	15249
anlat	8.0	0.001	anlat	13206
say	8.0	0.001	say	8848
sorgula	8.0	0.006	sorgula	1239
sakın	8.0	0.039	sakın	204
dağıt	8.0	0.003	dağıt	3126
çakış	8.0	0.03	çakış	264
durakla	8.0	0.033	durakla	240
gururlan	8.0	0.5	gururlan	16
sar	8.0	0.004	sar	1817
tara	8.0	0.025	tara	320
inle	8.0	0.136	inle	59
hastalan	8.0	0.016	hastalan	487
defnet	8.0	0.007	defnet	1110
tutun	8.0	0.012	tutun	691
mevzilen	7.0	0.072	mevzilen	97
feshet	7.0	0.009	feshet	796
ertele	7.0	0.009	ertele	799
ürper	7.0	0.438	ürper	16
katış	7.0	0.778	katış	9
kapla	7.0	0.003	kapla	2193
çiğne	7.0	0.018	çiğne	394
ezberle	7.0	0.042	ezberle	165
üşü	7.0	0.104	üşü	67
sol	7.0	0.019	sol	374
parçala	7.0	0.004	parçala	1808
ayıl	7.0	0.121	ayıl	58
gir	7.0	0.0	gir	39841
ucuzla	7.0	0.179	ucuzla	39
kabullen	7.0	0.02	kabullen	347
genleş	7.0	0.051	genleş	137
kutuplaş	7.0	0.082	kutuplaş	85
seyret	7.0	0.008	seyret	931
ör	6.0	0.011	ör	539
güven	6.0	0.007	güven	915
hırslan	6.0	0.5	hırslan	12
buruş	6.0	0.4	buruş	15
iste	6.0	0.0	iste	22072
tokuş	6.0	0.6	tokuş	10
sor	6.0	0.003	sor	2282
lezzetlen	6.0	0.667	lezzetlen	9
ufal	6.0	0.375	ufal	16
hançerle	6.0	0.188	hançerle	32
tasarla	6.0	0.001	tasarla	5128
harca	6.0	0.003	harca	1876
üleş	6.0	1.0	üleş	6
seğir	6.0	0.353	seğir	17
bık	6.0	0.042	bık	143
esinlen	6.0	1.0	esinlen	6
süslen	6.0	1.0	süslen	6
diz	6.0	0.007	diz	808
kokla	5.0	0.056	kokla	90
salgıla	5.0	0.009	salgıla	582
belirt	5.0	1.0	belirt	5
sağla	5.0	0.0	sağla	32742
göçer	5.0	1.0	göçer	5
tanıt	5.0	1.0	tanıt	5
gıcırda	5.0	0.357	gıcırda	14
heveslen	5.0	0.357	heveslen	14
sok	5.0	0.002	sok	2608
tiksin	5.0	0.135	tiksin	37
düşür	5.0	0.002	düşür	3077
sula	5.0	0.003	sula	1727
paslan	5.0	0.085	paslan	59
yasakla	5.0	0.002	yasakla	2439
boşa	5.0	0.003	boşa	1610
yorumla	4.0	0.002	yorumla	2525
haczet	4.0	0.211	haczet	19
sün	4.0	0.129	sün	31
sık	4.0	0.014	sık	288
uçukla	4.0	0.8	uçukla	5
düze	4.0	0.222	düze	18
devret	4.0	0.003	devret	1454
keyiflen	4.0	1.0	keyiflen	4
sığın	4.0	0.003	sığın	1404
öp	4.0	0.011	öp	350
sürü	4.0	0.028	sürü	142
tıkla	4.0	0.015	tıkla	259
kokulan	4.0	1.0	kokulan	4
düzle	4.0	0.2	düzle	20
giyin	4.0	0.012	giyin	344
oy	4.0	0.007	oy	584
irkil	4.0	0.138	irkil	29
solu	4.0	0.044	solu	90
tekrarla	4.0	0.003	tekrarla	1270
öt	4.0	0.043	öt	93
faydalan	4.0	0.004	faydalan	1106
kökleş	4.0	0.108	kökleş	37
del	4.0	0.002	del	1971
sesle	4.0	0.8	sesle	5
şakla	4.0	0.5	şakla	8
yan	4.0	0.002	yan	2433
odaklaş	4.0	0.25	odaklaş	16
zannet	4.0	0.009	zannet	458
keşfet	4.0	0.001	keşfet	5040
ılı	4.0	0.267	ılı	15
kavra	4.0	0.006	kavra	720
kaynaklan	4.0	0.002	kaynaklan	2503
usan	4.0	0.063	usan	63
yargıla	4.0	0.002	yargıla	2246
zıpla	4.0	0.02	zıpla	198
ışı	4.0	0.009	ışı	434
haberleş	4.0	0.005	haberleş	728
marjinalleş	4.0	0.4	marjinalleş	10
kotar	3.0	0.071	kotar	42
açın	3.0	1.0	açın	3
hopla	3.0	0.107	hopla	28
şişmanla	3.0	0.231	şişmanla	13
bereketlen	3.0	1.0	bereketlen	3
özümse	3.0	0.033	özümse	92
imren	3.0	0.13	imren	23
dilen	3.0	1.0	dilen	3
sarar	3.0	0.045	sarar	67
hazmet	3.0	0.081	hazmet	37
tıngırda	3.0	0.75	tıngırda	4
yaşar	3.0	0.071	yaşar	42
sürün	3.0	1.0	sürün	3
kırış	3.0	0.273	kırış	11
çözüş	3.0	0.75	çözüş	4
ene	3.0	0.75	ene	4
yamul	3.0	0.3	yamul	10
kapış	3.0	0.036	kapış	83
uslan	3.0	0.075	uslan	40
kımılda	3.0	0.091	kımılda	33
yadırga	3.0	0.042	yadırga	72
pisle	3.0	0.333	pisle	9
ciltle	3.0	0.2	ciltle	15
hortla	3.0	0.176	hortla	17
kişne	3.0	0.333	kişne	9
sürt	3.0	0.031	sürt	97
soy	3.0	0.008	soy	394
aş	3.0	0.001	aş	2807
araştır	3.0	0.0	araştır	14192
sahnele	3.0	0.002	sahnele	1974
süsle	3.0	0.002	süsle	1333
böl	3.0	0.001	böl	4705
uyar	3.0	0.002	uyar	1231
çatış	3.0	0.001	çatış	5101
denetle	3.0	0.002	denetle	1217
şüphelen	3.0	0.01	şüphelen	300
boşalt	3.0	0.003	boşalt	1012
ata	3.0	0.0	ata	7392
yasa	3.0	0.028	yasa	108
kesiş	3.0	0.004	kesiş	667
tık	2.0	0.059	tık	34
ek	2.0	0.004	ek	496
süz	2.0	0.004	süz	460
dağla	2.0	0.118	dağla	17
iç	2.0	0.001	iç	1572
şahlan	2.0	0.111	şahlan	18
afalla	2.0	0.1	afalla	20
yolla	2.0	0.002	yolla	1314
devin	2.0	0.051	devin	39
tınla	2.0	0.1	tınla	20
ispatla	2.0	0.003	ispatla	574
değin	2.0	0.003	değin	723
konakla	2.0	0.003	konakla	601
donat	2.0	0.002	donat	1064
dola	2.0	0.056	dola	36
geber	2.0	0.125	geber	16
sürükle	2.0	0.002	sürükle	1007
sigortala	2.0	0.067	sigortala	30
iğren	2.0	0.062	iğren	32
duyumsa	2.0	0.057	duyumsa	35
kudur	2.0	0.125	kudur	16
vazgeçir	2.0	0.02	vazgeçir	98
bestele	2.0	0.001	bestele	2635
etkile	2.0	0.0	etkile	8318
güneşlen	2.0	1.0	güneşlen	2
yassıl	2.0	1.0	yassıl	2
uzat	2.0	1.0	uzat	2
somur	2.0	1.0	somur	2
kaşan	2.0	1.0	kaşan	2
kaşın	2.0	1.0	kaşın	2
ümitlen	2.0	1.0	ümitlen	2
hararetlen	2.0	0.667	hararetlen	3
şenel	2.0	0.667	şenel	3
alakalan	2.0	0.667	alakalan	3
yarat	2.0	0.0	yarat	11063
yönet	2.0	0.0	yönet	10439
hislen	2.0	0.4	hislen	5
depreş	2.0	0.143	depreş	14
yay	2.0	0.0	yay	6234
ele	2.0	0.0	ele	5731
semir	2.0	0.286	semir	7
gocun	2.0	0.25	gocun	8
rastla	2.0	0.0	rastla	4925
götür	2.0	0.0	götür	4172
engelle	2.0	0.001	engelle	3855
sakla	2.0	0.001	sakla	3158
darbet	2.0	0.2	darbet	10
artır	2.0	0.001	artır	3002
balla	2.0	0.154	balla	13
kovala	2.0	0.006	kovala	346
yığ	2.0	0.004	yığ	448
tüylen	2.0	0.083	tüylen	24
yükseltgen	2.0	0.017	yükseltgen	121
taşla	2.0	0.008	taşla	245
duraksa	2.0	0.035	duraksa	57
kümelen	2.0	0.025	kümelen	79
soyun	2.0	0.009	soyun	216
kutsa	2.0	0.007	kutsa	301
çınla	2.0	0.037	çınla	54
kilitle	2.0	0.007	kilitle	292
güreş	2.0	0.007	güreş	268
sıyır	2.0	0.04	sıyır	50
ışılda	2.0	0.027	ışılda	75
üslen	2.0	0.016	üslen	122
doy	2.0	0.008	doy	245
sapla	2.0	0.006	sapla	315
doku	2.0	0.025	doku	79
zedele	2.0	0.009	zedele	216
uyarla	1.0	0.0	uyarla	3944
eyle	1.0	0.006	eyle	168
davran	1.0	0.0	davran	5163
yudumla	1.0	0.167	yudumla	6
serp	1.0	0.005	serp	210
duyur	1.0	0.0	duyur	3141
kurtar	1.0	0.0	kurtar	5212
bile	1.0	0.013	bile	79
ihtiyarla	1.0	0.091	ihtiyarla	11
darıl	1.0	0.111	darıl	9
tartış	1.0	0.0	tartış	6327
üstlen	1.0	0.0	üstlen	7013
sürç	1.0	0.091	sürç	11
demirle	1.0	0.007	demirle	152
boğuş	1.0	0.005	boğuş	212
hesapla	1.0	0.0	hesapla	2864
karşıla	1.0	0.0	karşıla	5146
puslan	1.0	0.143	puslan	7
bayatla	1.0	0.143	bayatla	7
dirilt	1.0	0.006	dirilt	181
cisimlen	1.0	0.1	cisimlen	10
evril	1.0	0.005	evril	187
reddet	1.0	0.0	reddet	4219
öpüş	1.0	0.005	öpüş	186
kibirlen	1.0	0.111	kibirlen	9
vazet	1.0	0.1	vazet	10
akıt	1.0	0.005	akıt	206
tanıtla	1.0	0.014	tanıtla	69
aksır	1.0	0.2	aksır	5
yoğur	1.0	0.013	yoğur	75
hüzünlen	1.0	0.1	hüzünlen	10
aktar	1.0	0.0	aktar	3721
şişle	1.0	0.125	şişle	8
gezin	1.0	0.006	gezin	176
kurgula	1.0	0.003	kurgula	345
kıvılcımlan	1.0	0.25	kıvılcımlan	4
ürü	1.0	0.25	ürü	4
sokuş	1.0	1.0	sokuş	1
nihayetlen	1.0	0.5	nihayetlen	2
tart	1.0	0.008	tart	118
bileyle	1.0	0.5	bileyle	2
çarpıt	1.0	0.009	çarpıt	117
neşret	1.0	0.009	neşret	106
şıngırda	1.0	0.5	şıngırda	2
pırtla	1.0	1.0	pırtla	1
zıngırda	1.0	1.0	zıngırda	1
sızdır	1.0	1.0	sızdır	1
tomur	1.0	0.25	tomur	4
atlat	1.0	1.0	atlat	1
pörtle	1.0	1.0	pörtle	1
şapırda	1.0	1.0	şapırda	1
durul	1.0	1.0	durul	1
hışırda	1.0	1.0	hışırda	1
kanır	1.0	1.0	kanır	1
oynat	1.0	1.0	oynat	1
boşat	1.0	1.0	boşat	1
takırda	1.0	0.5	takırda	2
gevre	1.0	0.5	gevre	2
çıtla	1.0	0.5	çıtla	2
tıkırda	1.0	0.5	tıkırda	2
bitir	1.0	0.0	bitir	10277
koru	1.0	0.0	koru	10293
eşle	1.0	0.012	eşle	81
tanımla	1.0	0.0	tanımla	10867
ocu	1.0	0.333	ocu	3
mürekkeple	1.0	0.333	mürekkeple	3
seviş	1.0	0.007	seviş	151
doğ	1.0	0.0	doğ	14134
sansürle	1.0	0.007	sansürle	149
selamla	1.0	0.007	selamla	144
resimle	1.0	0.008	resimle	126
kederlen	1.0	0.333	kederlen	3
yağla	1.0	0.008	yağla	125
kal	1.0	0.0	kal	49000
kışla	1.0	0.011	kışla	89
pürüzlen	1.0	0.5	pürüzlen	2
damgala	1.0	0.011	damgala	89
pulla	1.0	0.077	pulla	13
kutla	1.0	0.0	kutla	2679
tep	1.0	0.004	tep	229
acık	1.0	0.03	acık	33
özetle	1.0	0.002	özetle	647
yuhala	1.0	0.027	yuhala	37
taşın	1.0	0.027	taşın	37
kıvran	1.0	0.021	kıvran	48
parılda	1.0	0.021	parılda	48
korkut	1.0	0.003	korkut	306
öv	1.0	0.001	öv	717
yapraklan	1.0	0.02	yapraklan	50
çatallan	1.0	0.03	çatallan	33
bocala	1.0	0.018	bocala	55
biç	1.0	0.003	biç	303
resmet	1.0	0.001	resmet	756
aydınlan	1.0	0.001	aydınlan	768
bombala	1.0	0.001	bombala	828
batır	1.0	0.001	batır	838
yit	1.0	0.032	yit	31
ört	1.0	0.001	ört	923
meylet	1.0	0.033	meylet	30
yar	1.0	0.002	yar	629
kalkış	1.0	0.003	kalkış	325
doğrul	1.0	0.027	doğrul	37
işit	1.0	0.002	işit	549
kucaklaş	1.0	0.023	kucaklaş	44
kıvır	1.0	0.023	kıvır	43
horla	1.0	0.024	horla	42
yumurtla	1.0	0.003	yumurtla	362
bur	1.0	0.003	bur	390
beze	1.0	0.002	beze	422
tap	1.0	0.002	tap	427
belgele	1.0	0.002	belgele	434
gerçekle	1.0	0.024	gerçekle	42
tıka	1.0	0.003	tıka	338
dışla	1.0	0.002	dışla	451
aşağıla	1.0	0.002	aşağıla	456
asfaltla	1.0	0.022	asfaltla	46
yatır	1.0	0.002	yatır	470
önemse	1.0	0.003	önemse	334
üz	1.0	0.002	üz	496
uçuş	1.0	0.021	uçuş	47
gürle	1.0	0.033	gürle	30
vuruş	1.0	0.036	vuruş	28
nikâhla	1.0	0.071	nikâhla	14
ölç	1.0	0.0	ölç	2238
avla	1.0	0.001	avla	1763
mayınla	1.0	0.059	mayınla	17
örgütle	1.0	0.001	örgütle	1829
kanıtla	1.0	0.001	kanıtla	1906
özle	1.0	0.004	özle	242
algıla	1.0	0.0	algıla	2160
tozlan	1.0	0.062	tozlan	16
yıpran	1.0	0.004	yıpran	236
aşıla	1.0	0.004	aşıla	234
sızla	1.0	0.037	sızla	27
yat	1.0	0.0	yat	2287
vazgeç	1.0	0.0	vazgeç	2359
