lemma	morph_parse	correct_form	frequency
bil	Verb+Verb+Caus+Pos+Past+A3sg	bildirdi	741
oluş	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg	oluşturulmuş	741
sür	Verb+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	sürdürmüştür	740
belir	Verb+Verb+Caus+Verb+Pass+Pos+Prog2+A3sg+Cop+A3sg	belirtilmektedir	734
üre	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	üretildi	720
üre	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg	üretilmiş	716
oluş	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	oluşturuldu	711
öl	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	öldürülmüştür	707
seslen	Verb+Verb+Caus+Pos+Past+A3sg	seslendirdi	704
değiş	Verb+Verb+Caus+Pos+Adv+ByDoingSo	değiştirerek	702
barın	Verb+Verb+Caus+Pos+Aor+A3sg	barındırır	691
geliş	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom	geliştirmek	682
kazan	Verb+Verb+Caus+Pos+Past+A3sg	kazandırdı	679
yürü	Verb+Verb+Caus+Verb+Pass+Pos+Adj+PresPart	yürütülen	676
seslen	Verb+Verb+Caus+Verb+Pass+Pos+Adj+PresPart	seslendirilen	675
geliş	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Nom	geliştirilmesi	671
başla	Verb+Verb+Caus+Verb+Pass+Pos+Adj+PresPart	başlatılan	670
canlan	Verb+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	canlandırmıştır	657
yürü	Verb+Verb+Caus+Pos+Prog2+A3sg+Cop+A3sg	yürütmektedir	647
seslen	Verb+Verb+Caus+Pos+Adj+PastPart+P3sg	seslendirdiği	634
başla	Verb+Verb+Caus+Pos+Adj+PastPart+P3sg	başlattığı	631
çık	Verb+Verb+Caus+Pos+Aor+A3sg	çıkarır	630
geliş	Verb+Verb+Caus+Pos+Adj+PastPart+P3sg	geliştirdiği	628
öl	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Nom	öldürülmesi	610
değiş	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	değiştirme	607
çık	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom	çıkarmak	605
öl	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom	öldürmek	586
bil	Verb+Verb+Caus+Pos+Aor+A3sg	bildirir	578
geliş	Verb+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	geliştirmiştir	577
yürü	Verb+Verb+Caus+Pos+Adj+PresPart	yürüten	567
üre	Verb+Verb+Caus+Verb+Pass+Pos+Aor+A3sg	üretilir	565
yap	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	yaptırılmıştır	564
bulun	Verb+Verb+Caus+Pos+Adj+PresPart	bulunduran	563
gerek	Verb+Verb+Caus+Pos+Adj+PresPart	gerektiren	559
değiş	Verb+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	değiştirmiştir	555
kapa	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	kapatıldı	553
üre	Verb+Verb+Caus+Verb+Pass+Pos+Prog2+A3sg+Cop+A3sg	üretilmektedir	533
belir	Verb+Verb+Caus+Pos+Prog2+A3sg+Cop+A3sg	belirtmektedir	532
sal	Verb+Verb+Caus+Pos+Past+A3sg	saldırdı	525
belir	Verb+Verb+Caus+Verb+Pass+Pos+Aor+A3sg	belirtilir	524
belir	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom	belirtmek	524
öl	Verb+Verb+Caus+Verb+Pass+Pos+Adj+PresPart	öldürülen	514
yürü	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	yürütme	508
türe	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	türetilmiştir	500
üre	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom	üretmek	499
canlan	Verb+Verb+Caus+Pos+Adj+PresPart	canlandıran	492
yürü	Verb+Verb+Caus+Pos+Adj+PastPart+P3sg	yürüttüğü	490
gerek	Verb+Verb+Caus+Pos+Aor+A3sg	gerektirir	488
geliş	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	geliştirildi	486
yansı	Verb+Verb+Caus+Pos+Adj+PresPart	yansıtan	483
kazan	Verb+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	kazandırmıştır	479
öl	Verb+Verb+Caus+Verb+Pass+Pos+Aor+A3sg	öldürülür	477
sür	Verb+Verb+Caus+Pos+Adj+PastPart+P3sg	sürdürdüğü	476
birleş	Verb+Verb+Caus+Pos+Adj+PresPart	birleştiren	470
başla	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	başlatıldı	466
yap	Verb+Verb+Caus+Pos+Adj+PastPart+P3sg	yaptırdığı	466
değiş	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom	değiştirmek	464
yürü	Verb+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	yürütmüştür	460
yürü	Verb+Verb+Caus+Verb+Pass+Pos+Prog2+A3sg+Cop+A3sg	yürütülmektedir	460
öl	Verb+Verb+Caus+Pos+Past+A3sg	öldürdü	459
oluş	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	oluşturma	458
çık	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Dat	çıkarmaya	455
yetiş	Verb+Verb+Caus+Verb+Pass+Pos+Adj+PresPart	yetiştirilen	454
belir	Verb+Verb+Caus+Pos+Adv+ByDoingSo	belirterek	442
yap	Verb+Verb+Caus+Verb+Pass+Pos+Adj+PresPart	yaptırılan	435
değiş	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg	değiştirilmiş	425
seslen	Verb+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	seslendirmiştir	423
oluş	Verb+Verb+Caus+Verb+Pass+Pos+Aor+A3sg	oluşturulur	419
barın	Verb+Verb+Caus+Pos+Prog2+A3sg+Cop+A3sg	barındırmaktadır	418
oluş	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Nom	oluşturulması	415
kısal	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Nom	kısaltması	413
geliş	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Dat	geliştirmeye	411
değiş	Verb+Verb+Caus+Pos+Adj+PresPart	değiştiren	409
öl	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Dat	öldürmeye	409
yerleş	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg	yerleştirilmiş	408
azal	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom	azaltmak	407
yap	Verb+Verb+Caus+Pos+Past+A3sg	yaptırdı	407
çarp	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	çarptırıldı	405
yerleş	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	yerleştirilmiştir	405
oluş	Verb+Verb+Caus+Pos+Adv+ByDoingSo	oluşturarak	404
kazan	Verb+Verb+Caus+Pos+Adj+PresPart	kazandıran	403
çık	Verb+Verb+Caus+Pos+Adv+ByDoingSo	çıkararak	401
çık	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Nom	çıkarılması	394
değiş	Verb+Verb+Caus+Pos+Aor+A3sg	değiştirir	386
üre	Verb+Verb+Caus+Pos+Aor+A3sg	üretir	383
geliş	Verb+Verb+Caus+Pos+Adj+PresPart	geliştiren	383
uğra	Verb+Verb+Caus+Pos+Past+A3sg	uğrattı	379
yerleş	Verb+Verb+Caus+Verb+Pass+Pos+Adj+PresPart	yerleştirilen	376
öl	Verb+Verb+Caus+Pos+Adj+PresPart	öldüren	376
öl	Verb+Verb+Caus+Verb+Pass+Pos+Adj+PastPart+P3sg	öldürüldüğü	376
art	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom	arttırmak	374
oluş	Verb+Verb+Caus+Pos+Fut+A3sg	oluşturacak	373
çık	Verb+Verb+Caus+Pos+Narr+A3sg	çıkarmış	373
belir	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	belirtildi	370
üre	Verb+Verb+Caus+Pos+Past+A3sg	üretti	366
et	Verb+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	ettirmiştir	365
üre	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Dat	üretmeye	362
seslen	Verb+Verb+Caus+Pos+Narr+A3sg	seslendirmiş	362
sal	Verb+Verb+Caus+Pos+Aor+A3sg	saldırır	362
oluş	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Dat	oluşturmaya	361
canlan	Verb+Verb+Caus+Pos+Prog2+A3sg+Cop+A3sg	canlandırmaktadır	360
çık	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg	çıkarılmış	360
yap	Verb+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	yaptırmıştır	357
dur	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom	durdurmak	353
çık	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Pos+Adj+PresPart	çıkartılan	353
çık	Verb+Verb+Caus+Pos+Adj+PastPart+P3pl	çıkardıkları	350
sal	Verb+Verb+Caus+Pos+Adj+PresPart	saldıran	348
in	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	indirildi	346
yetiş	Verb+Verb+Caus+Verb+Pass+Pos+Aor+A3sg	yetiştirilir	346
ulaş	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	Ulaştırma	345
bil	Verb+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	bildirmiştir	341
karşılaş	Verb+Verb+Caus+Verb+Pass+Pos+Noun+PastPart+A3sg+P3sg+Loc	karşılaştırıldığında	336
yetiş	Verb+Verb+Caus+Verb+Pass+Pos+Prog2+A3sg+Cop+A3sg	yetiştirilmektedir	335
çık	Verb+Verb+Caus+Pos+Past+A3pl	çıkardılar	335
başla	Verb+Verb+Caus+Pos+Adj+PresPart	başlatan	333
bil	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	bildirilmiştir	331
karış	Verb+Verb+Caus+Verb+Pass+Neg+Neces+A3sg+Cop+A3sg	karıştırılmamalıdır	329
değiş	Verb+Verb+Caus+Verb+Pass+Pos+Adv+ByDoingSo	değiştirilerek	328
dönüş	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	dönüştürülmüştür	327
başla	Verb+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	başlatmıştır	326
çık	Verb+Verb+Caus+Verb+Caus+Pos+Past+A3sg	çıkarttı	325
yüksel	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	yükseltildi	324
geliş	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	Geliştirme	322
öl	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	öldürme	322
öl	Verb+Verb+Caus+Pos+Adj+PastPart+P3sg	öldürdüğü	319
oluş	Verb+Verb+Caus+Pos+Past+A3pl	oluşturdular	319
değiş	Verb+Verb+Caus+Pos+Narr+A3sg	değiştirmiş	317
et	Verb+Verb+Caus+Pos+Adj+PresPart	ettiren	317
yerleş	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	yerleştirildi	316
bas	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom	bastırmak	315
kapa	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	kapatılmıştır	313
tanı	Verb+Verb+Caus+Pos+Past+A3sg	tanıttı	310
öl	Verb+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	öldürmüştür	310
üre	Verb+Verb+Caus+Pos+Prog2+A3sg+Cop+A3sg	üretmektedir	310
dur	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	durduruldu	307
birleş	Verb+Verb+Caus+Verb+Pass+Pos+Adv+ByDoingSo	birleştirilerek	303
birleş	Verb+Verb+Caus+Pos+Adv+ByDoingSo	birleştirerek	303
başla	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	başlatılmıştır	302
belir	Verb+Verb+Caus+Verb+Pass+Pos+Adj+PastPart+P3sg	belirtildiği	302
çık	Verb+Verb+Caus+Verb+Pass+Pos+Aor+A3sg	çıkarılır	300
yansı	Verb+Verb+Caus+Pos+Aor+A3sg	yansıtır	299
oluş	Verb+Verb+Caus+Pos+Prog1+Past+A3sg	oluşturuyordu	299
oluş	Verb+Verb+Caus+Pos+Adj+PastPart+P3pl	oluşturdukları	297
öl	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg	öldürülmüş	297
değiş	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Nom	değiştirilmesi	294
belir	Verb+Verb+Caus+Pos+Adj+PastPart+P3sg	belirttiği	292
kapa	Verb+Verb+Caus+Pos+Past+A3sg	kapattı	290
yetiş	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom	yetiştirmek	287
tanı	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	tanıtıldı	287
bulun	Verb+Verb+Caus+Pos+Prog2+A3sg+Cop+A3sg	bulundurmaktadır	287
çalış	Verb+Verb+Caus+Pos+Past+A3sg	çalıştırdı	285
uza	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	uzatma	284
geliş	Verb+Verb+Caus+Pos+Adv+ByDoingSo	geliştirerek	284
geliş	Verb+Verb+Caus+Pos+Narr+A3sg	geliştirmiş	277
sür	Verb+Verb+Caus+Pos+Prog2+A3sg	sürdürmekte	276
yürü	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	Yürütme	274
sür	Verb+Verb+Caus+Pos+Narr+A3sg	sürdürmüş	270
oluş	Verb+Verb+Caus+Pos+Narr+A3sg	oluşturmuş	270
sür	Verb+Verb+Caus+Pos+Aor+A3sg	sürdürür	267
art	Verb+Verb+Caus+Pos+Past+A3sg	arttırdı	264
üre	Verb+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	üretmiştir	264
tanı	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom	tanıtmak	262
kapa	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg	kapatılmış	261
bil	Verb+Verb+Caus+Pos+Adj+PresPart	bildiren	261
bil	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	bildirildi	261
güçlen	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom	güçlendirmek	257
çık	Verb+Verb+Caus+Verb+Caus+Pos+Adj+PastPart+P3sg	çıkarttığı	256
azal	Verb+Verb+Caus+Pos+Aor+A3sg	azaltır	255
bas	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	bastırıldı	254
ilgilen	Verb+Verb+Caus+Pos+Adj+PresPart	ilgilendiren	253
yerleş	Verb+Verb+Caus+Verb+Pass+Pos+Aor+A3sg	yerleştirilir	253
sıkış	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	sıkıştırma	250
in	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	indirme	249
sür	Verb+Verb+Caus+Verb+Pass+Pos+Adj+PresPart	sürdürülen	249
çık	Verb+Verb+Caus+Pos+Adv+AfterDoingSo	çıkarıp	248
birleş	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Nom	birleştirilmesi	244
üre	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Dat	üretilmeye	243
genişle	Verb+Verb+Caus+Pos+Past+A3sg	genişletti	242
değiş	Verb+Verb+Caus+Pos+Adv+AfterDoingSo	değiştirip	242
yap	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg	yaptırılmış	240
seslen	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	seslendirilmiştir	237
et	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom	ettirmek	237
yetiş	Verb+Verb+Caus+Pos+Adj+PresPart	yetiştiren	234
dönüş	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	dönüştürüldü	234
karış	Verb+Verb+Caus+Verb+Pass+Pos+Aor+A3sg	karıştırılır	234
değiş	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Dat	değiştirmeye	234
bas	Verb+Verb+Caus+Pos+Past+A3sg	bastırdı	234
sür	Verb+Verb+Caus+Pos+Aor+A3sg+Adv+While	sürdürürken	233
çık	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Pos+Past+A3sg	çıkartıldı	233
kapa	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Nom	kapatılması	231
öl	Verb+Verb+Caus+Pos+Adv+AfterDoingSo	öldürüp	229
sür	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom	sürdürmek	228
tanı	Verb+Verb+Caus+Pos+Adj+PresPart	tanıtan	226
oluş	Verb+Verb+Caus+Pos+Narr+A3pl+Cop+A3sg	oluşturmuşlardır	226
yetiş	Verb+Verb+Caus+Pos+Adj+PastPart+P3sg	yetiştirdiği	225
oluş	Verb+Verb+Caus+Pos+Aor+A3sg+Adv+While	oluştururken	225
öl	Verb+Verb+Caus+Pos+Adv+ByDoingSo	öldürerek	225
çık	Verb+Verb+Caus+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	çıkartma	223
in	Verb+Verb+Caus+Verb+Pass+Pos+Adj+PresPart	indirilen	223
sür	Verb+Verb+Caus+Pos+Prog1+A3sg	sürdürüyor	222
barın	Verb+Verb+Caus+Pos+Adj+PastPart+P3sg	barındırdığı	221
sür	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Dat	sürdürmeye	220
sal	Verb+Verb+Caus+Pos+Adv+ByDoingSo	saldırarak	218
öl	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Abl	öldürülmesinden	218
çalış	Verb+Verb+Caus+Pos+Adj+PastPart+P3sg	çalıştırdığı	218
çalış	Verb+Verb+Caus+Pos+Adj+PresPart	çalıştıran	217
genişle	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg	genişletilmiş	216
yetiş	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	yetiştirme	216
dur	Verb+Verb+Caus+Pos+Past+A3sg	durdurdu	215
seslen	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	seslendirildi	215
kısal	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg	kısaltılmış	214
üre	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Nom	üretilmesi	212
işle	Verb+Verb+Caus+Verb+Pass+Pos+Adj+PresPart	işletilen	212
türe	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg	türetilmiş	212
art	Verb+Verb+Caus+Pos+Aor+A3sg	arttırır	208
canlan	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	canlandırılmıştır	208
üre	Verb+Verb+Caus+Verb+Pass+Pos+Adj+PastPart+P3sg	üretildiği	207
yansı	Verb+Verb+Caus+Pos+Prog2+A3sg+Cop+A3sg	yansıtmaktadır	207
çık	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	çıkartılmıştır	207
uyan	Verb+Verb+Caus+Pos+Past+A3sg	uyandırdı	207
çık	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Acc	çıkarmayı	206
birleş	Verb+Verb+Caus+Pos+Past+A3sg	birleştirdi	204
birleş	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	birleştirme	204
canlan	Verb+Verb+Caus+Verb+Pass+Pos+Adj+PresPart	canlandırılan	204
nitelen	Verb+Verb+Caus+Verb+Pass+Pos+Adj+PresPart	nitelendirilen	204
uzaklaş	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	uzaklaştırıldı	203
çık	Verb+Verb+Caus+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	çıkartmıştır	199
öl	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Nom	öldürmesi	197
düzel	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	düzeltme	196
geliş	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Dat	geliştirilmesine	196
yürü	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom	yürütmek	195
başla	Verb+Verb+Caus+Pos+Aor+A3sg	başlatır	195
sal	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom	saldırmak	193
oluş	Verb+Verb+Caus+Pos+Prog2+Past+A3sg	oluşturmaktaydı	193
öl	Verb+Verb+Caus+Verb+Pass+Pos+Noun+PastPart+A3sg+P3sg+Acc	öldürüldüğünü	192
üre	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	üretme	191
fırla	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	fırlatma	191
başla	Verb+Verb+Caus+Pos+Past+A3pl	başlattılar	189
gerek	Verb+Verb+Caus+Pos+Adj+PastPart+P3sg	gerektirdiği	189
yetiş	Verb+Verb+Caus+Pos+Past+A3sg	yetiştirdi	188
et	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	ettirildi	187
tanı	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	tanıtılmıştır	186
öl	Verb+Verb+Caus+Pos+Past+A3pl	öldürdüler	186
et	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	ettirilmiştir	186
bulun	Verb+Verb+Caus+Pos+Aor+A3sg	bulundurur	185
bil	Verb+Verb+Caus+Verb+Pass+Pos+Prog2+A3sg+Cop+A3sg	bildirilmektedir	185
oluş	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Nom	oluşturması	185
çık	Verb+Verb+Caus+Verb+Caus+Pos+Aor+A3sg	çıkartır	179
değiş	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Nom	değiştirmesi	179
öl	Verb+Verb+Caus+Pos+Noun+PastPart+A3sg+P3sg+Acc	öldürdüğünü	179
in	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom	indirmek	179
yerleş	Verb+Verb+Caus+Pos+Past+A3sg	yerleştirdi	178
sal	Verb+Verb+Caus+Pos+Past+A3pl	saldırdılar	177
et	Verb+Verb+Caus+Pos+Aor+A3sg	ettirir	176
