lemma	frequency
diz	6
sok	5
düşür	5
tanıt	5
heveslen	5
boşa	5
sağla	5
salgıla	5
yasakla	5
belirt	5
sula	5
tiksin	5
paslan	5
göçer	5
kokla	5
gıcırda	5
keşfet	4
kavra	4
marjinalleş	4
del	4
faydalan	4
kokulan	4
uçukla	4
düzle	4
sün	4
ılı	4
devret	4
tıkla	4
giyin	4
yan	4
sığın	4
şakla	4
kökleş	4
sık	4
düze	4
öt	4
zıpla	4
ışı	4
solu	4
kaynaklan	4
sürü	4
yorumla	4
odaklaş	4
irkil	4
haberleş	4
tekrarla	4
sesle	4
usan	4
keyiflen	4
haczet	4
yargıla	4
zannet	4
öp	4
oy	4
yasa	3
yadırga	3
uslan	3
kesiş	3
çözüş	3
yamul	3
sahnele	3
böl	3
pisle	3
uyar	3
kişne	3
soy	3
ciltle	3
dilen	3
şüphelen	3
kırış	3
ata	3
kımılda	3
sürün	3
çatış	3
açın	3
denetle	3
hopla	3
boşalt	3
aş	3
sürt	3
özümse	3
yaşar	3
bereketlen	3
hortla	3
araştır	3
tıngırda	3
kotar	3
şişmanla	3
imren	3
sarar	3
hazmet	3
süsle	3
kapış	3
ene	3
duraksa	2
değin	2
engelle	2
dola	2
yassıl	2
uzat	2
dağla	2
şahlan	2
ışılda	2
şenel	2
kutsa	2
soyun	2
artır	2
vazgeçir	2
donat	2
yükseltgen	2
süz	2
yarat	2
zedele	2
ispatla	2
yay	2
yığ	2
hararetlen	2
darbet	2
götür	2
depreş	2
gocun	2
devin	2
tüylen	2
sakla	2
duyumsa	2
yolla	2
iğren	2
taşla	2
kaşın	2
alakalan	2
ele	2
doku	2
ümitlen	2
tınla	2
güneşlen	2
konakla	2
güreş	2
kümelen	2
etkile	2
bestele	2
sigortala	2
kaşan	2
çınla	2
doy	2
tık	2
ek	2
somur	2
üslen	2
sıyır	2
kovala	2
kilitle	2
afalla	2
kudur	2
sürükle	2
iç	2
sapla	2
geber	2
balla	2
hislen	2
yönet	2
rastla	2
semir	2
kucaklaş	1
damgala	1
yatır	1
şapırda	1
tap	1
özümle	1
ihtiyarla	1
kanır	1
horla	1
meylet	1
eşle	1
durul	1
öv	1
davran	1
hışırda	1
aktar	1
bayatla	1
aydınlan	1
parselle	1
yıpran	1
karşıla	1
tomur	1
aşağıla	1
eyle	1
büzüş	1
tart	1
bileyle	1
aşıla	1
demirle	1
mühürle	1
işit	1
katet	1
bombala	1
gürle	1
yoğur	1
tartış	1
bile	1
örgütle	1
akıt	1
takırda	1
sızla	1
uçuş	1
koru	1
kederlen	1
kalkış	1
tıkış	1
çarpıt	1
işe	1
duyur	1
serp	1
kamplaş	1
uyarla	1
boşat	1
kanıtla	1
biç	1
tanıtla	1
çeliş	1
hesapla	1
ayarla	1
kıvran	1
bur	1
bitir	1
gözük	1
pürüzlen	1
yar	1
kıvır	1
oynat	1
mürekkeple	1
tep	1
reddet	1
gevre	1
yağla	1
algıla	1
kurtar	1
asfaltla	1
betimle	1
yat	1
resmet	1
nikâhla	1
yit	1
mayınla	1
yapraklan	1
korkut	1
ölç	1
gizle	1
yudumla	1
tüken	1
tanımla	1
tartakla	1
gezin	1
pırtla	1
yuhala	1
kibirlen	1
çatırda	1
gerçekle	1
neşret	1
öpüş	1
parılda	1
evril	1
sokuş	1
puslan	1
avla	1
darıl	1
yalanla	1
içir	1
atlat	1
vazgeç	1
üz	1
tıkırda	1
karıncalan	1
beze	1
kal	1
sansürle	1
özetle	1
boğazla	1
ört	1
yumurtla	1
aksır	1
çatallan	1
selamla	1
batır	1
şıngırda	1
tozlan	1
ocu	1
zımparala	1
zıngırda	1
pörtle	1
kıvılcımlan	1
ürü	1
acık	1
vuruş	1
cisimlen	1
üstlen	1
doğrul	1
kurgula	1
kutla	1
hakket	1
dene	1
hüzünlen	1
özle	1
dışla	1
belgele	1
önemse	1
nihayetlen	1
çerçevele	1
bocala	1
resimle	1
tıka	1
boğuş	1
pulla	1
sürç	1
dirilt	1
zorla	1
vazet	1
çıtla	1
yavrula	1
şişle	1
taşın	1
doğ	1
kışla	1
sızdır	1
zincirle	1
seviş	1
eleştir	1
