verb_lemma	verb_freq	caus_freq
ak	3391	
öner	3294	
çevril	3264	
dağıl	3212	
sakla	3158	2.0
duyur	3141	1.0
yaklaş	3130	202.0
dağıt	3126	8.0
kalk	3103	
düşür	3077	5.0
yağ	3066	117.0
diren	3050	
uy	3037	630.0
uğraş	3031	54.0
artır	3002	2.0
benimse	2911	60.0
değ	2896	33.0
yitir	2887	
hesapla	2864	1.0
yak	2853	36.0
aş	2807	3.0
uzaklaş	2781	1372.0
suçla	2774	
dök	2761	27.0
zorla	2736	1.0
kavuş	2725	444.0
türe	2716	1203.0
kıl	2699	46.0
kutla	2679	1.0
san	2669	
yarış	2656	29.0
bestele	2635	2.0
önle	2631	
atla	2616	491.0
sok	2608	5.0
yarala	2582	
yorumla	2525	4.0
eleştir	2514	1.0
kaynaklan	2503	4.0
kaçır	2482	21.0
öde	2472	40.0
yasakla	2439	5.0
yan	2433	4.0
çarpış	2394	69.0
yenile	2360	9.0
vazgeç	2359	1.0
hisset	2314	206.0
tüket	2294	
yat	2287	1.0
sor	2282	6.0
giriş	2256	
yargıla	2246	4.0
ölç	2238	1.0
unut	2226	85.0
kaybol	2207	
çök	2203	37.0
kapla	2193	7.0
algıla	2160	1.0
derle	2158	
buluş	2147	226.0
kirala	2125	
onayla	2122	35.0
koş	2118	298.0
göm	2117	24.0
çağır	2114	46.0
dolaş	2074	88.0
yükle	2061	14.0
yönlendir	2026	
sapta	2016	
öngör	2007	
uyan	1974	1051.0
sahnele	1974	3.0
del	1971	4.0
kay	1948	582.0
çağrıl	1927	
kısal	1927	1727.0
başvur	1922	
kanıtla	1906	1.0
harca	1876	6.0
amaçla	1837	
nitelen	1832	1538.0
örgütle	1829	1.0
dinle	1826	136.0
gözlemle	1822	
sar	1817	8.0
parçala	1808	7.0
eriş	1803	22.0
gözle	1789	
avla	1763	1.0
hatırla	1749	532.0
sula	1727	5.0
esinle	1707	
gez	1695	141.0
yüz	1692	48.0
beğen	1690	18.0
dik	1675	93.0
düzel	1651	1374.0
vurgula	1636	
takıl	1635	
güçlen	1626	1626.0
dene	1615	1.0
boşa	1610	5.0
as	1577	30.0
iç	1572	2.0
sıkış	1563	1031.0
öğret	1536	
fırla	1526	1349.0
fethet	1516	
ilet	1486	
kap	1456	564.0
devret	1454	4.0
kork	1447	
doğur	1443	15.0
dinlen	1433	99.0
kalkın	1417	58.0
sığın	1404	4.0
temizle	1397	11.0
depola	1396	
görüş	1382	12.0
yet	1354	
betimle	1339	1.0
gözük	1337	1.0
em	1336	53.0
süsle	1333	3.0
tüken	1331	1.0
eri	1315	362.0
yolla	1314	2.0
kısıtla	1312	
hedefle	1307	
oyla	1284	10.0
ada	1280	12.0
çoğal	1274	371.0
tekrarla	1270	4.0
bin	1268	287.0
kop	1260	
emret	1249	
it	1248	27.0
sorgula	1239	8.0
sil	1236	19.0
uyar	1231	3.0
odakla	1223	
tak	1217	21.0
denetle	1217	3.0
pazarla	1210	
doğrula	1204	13.0
soruştur	1194	
ayarla	1186	1.0
döv	1180	14.0
kov	1178	12.0
yara	1174	
bat	1171	
zayıfla	1160	332.0
dokun	1149	47.0
gecik	1144	268.0
programla	1137	
gider	1136	
pişir	1135	
kuru	1112	610.0
eşleş	1111	162.0
defnet	1110	8.0
faydalan	1106	4.0
gizle	1088	1.0
püskür	1086	833.0
donat	1064	2.0
eğ	1051	115.0
tepki	1038	
birik	1038	374.0
varsay	1024	
kaçın	1014	
boşalt	1012	3.0
sürükle	1007	2.0
sınırla	1006	
çekiş	990	19.0
eğit	982	
aydınlat	982	
andır	979	
ısıt	969	
güncelle	961	
gerile	946	57.0
devral	934	
seyret	931	7.0
ört	923	1.0
güven	915	6.0
dile	915	
yağmala	899	9.0
kopar	898	87.0
ateşle	884	
çözümle	872	
ünle	863	
bağışla	861	10.0
hoşlan	861	
alış	850	156.0
boya	847	25.0
boğ	845	100.0
zehirle	838	33.0
batır	838	1.0
tırman	835	29.0
uyu	833	76.0
naklet	832	15.0
bombala	828	1.0
ısın	828	9.0
ayrış	822	346.0
uzlaş	820	95.0
görüntüle	810	
diz	808	6.0
ez	807	10.0
kana	802	22.0
ertele	799	7.0
kodla	799	
sız	798	250.0
feshet	796	7.0
don	779	168.0
ger	772	22.0
aydınlan	768	1.0
bulaş	766	110.0
ilişkilendir	765	
dal	763	91.0
şaşır	759	365.0
resmet	756	1.0
şifrele	745	
um	744	
simgele	733	
katlet	732	11.0
karşılaştır	731	
haberleş	728	4.0
değin	723	2.0
kavra	720	4.0
çevrele	719	
öv	717	1.0
ağla	713	41.0
küçül	713	258.0
yıka	708	
çiftleş	704	45.0
sakatla	703	
onar	696	33.0
azlet	693	13.0
tutun	691	8.0
güt	686	
çözün	676	13.0
hapset	671	21.0
aşın	668	202.0
kesiş	667	3.0
sus	665	129.0
sök	664	52.0
devril	662	
devir	650	
kayna	650	291.0
özetle	647	1.0
göç	647	
affet	645	21.0
arın	640	378.0
indirge	636	
sars	635	
yavaşla	633	284.0
sıçra	632	39.0
boşal	629	
yar	629	1.0
sön	625	280.0
kaz	623	32.0
kız	620	229.0
konuşlan	619	307.0
parla	619	89.0
konakla	601	2.0
saç	592	35.0
bürün	591	23.0
toparla	587	
oy	584	4.0
çekin	583	
salgıla	582	5.0
katlan	581	
ispatla	574	2.0
gül	572	114.0
kastet	571	
iv	570	11.0
yapış	569	238.0
kıyasla	552	
işit	549	1.0
çürü	545	180.0
bağır	544	10.0
ör	539	6.0
noktala	534	
havalan	531	303.0
kaynaş	519	113.0
işaretle	517	
hükmet	510	
nitele	509	
atfet	506	
geçin	503	45.0
pekiş	499	444.0
üz	496	1.0
ek	496	2.0
kopyala	489	
hastalan	487	8.0
yut	473	9.0
ser	470	
sına	470	
yatır	470	1.0
salla	466	
tetikle	466	
eğlen	464	145.0
onurlan	462	462.0
aldat	461	
süz	460	2.0
biçimlen	459	296.0
zannet	458	4.0
aşağıla	456	1.0
dışla	451	1.0
piş	450	
döşe	449	11.0
yum	448	
yığ	448	2.0
kaydol	445	
bük	442	
yinele	441	
gözet	441	
kına	436	
belgele	434	1.0
ışı	434	4.0
yanaş	433	18.0
yumuşa	430	212.0
sin	427	374.0
tap	427	1.0
yetin	427	
daral	423	
beze	422	1.0
dolan	421	88.0
ısır	420	9.0
dövüş	417	21.0
soğu	411	
anımsa	410	308.0
sürtün	410	
çiğne	394	7.0
soy	394	3.0
bur	390	1.0
kan	388	341.0
uçur	388	102.0
kas	384	
düğ	381	
soyutla	379	
tapın	378	
sol	374	7.0
dengele	368	
sıkıl	367	
yazış	365	
yumurtla	362	1.0
harmanla	361	
yor	358	
ağırla	351	
öp	350	4.0
dölle	349	
kabullen	347	7.0
kovala	346	2.0
kurgula	345	1.0
gözetle	344	
giyin	344	4.0
dalgalan	343	16.0
soğut	341	
uyuş	338	31.0
tıka	338	1.0
kıy	338	11.0
kızar	337	186.0
es	337	48.0
modelle	336	
önemse	334	1.0
taş	333	
soğur	327	
sap	327	97.0
kalkış	325	1.0
rahatla	324	166.0
bağdaş	322	213.0
tara	320	8.0
yuvarla	319	24.0
sapla	315	2.0
yakış	314	189.0
çak	314	13.0
gevşe	311	117.0
örtüş	308	10.0
kus	307	15.0
kışkırt	307	
korkut	306	1.0
irdele	304	
hizala	304	
nişanla	304	
hafifle	303	255.0
biç	303	1.0
tutuş	303	67.0
kutsa	301	2.0
şüphelen	300	3.0
şiş	299	
yardımlaş	298	
sark	293	
kilitle	292	2.0
alla	290	
alçal	289	33.0
bula	289	15.0
sık	288	4.0
arıt	287	
ısla	282	117.0
aksa	281	109.0
yalvar	277	
kıskan	277	22.0
karar	273	75.0
güreş	268	2.0
yücel	268	245.0
sığ	267	96.0
örnekle	266	
çakış	264	8.0
acı	263	27.0
silk	262	
yanıl	260	96.0
sevin	260	52.0
tıkla	259	4.0
yatış	259	204.0
küçümse	257	
öğüt	256	
katet	256	1.0
bayıl	254	
sınıfla	254	
salıver	249	
çağrış	249	243.0
çabala	249	
yakın	249	
yalanla	248	1.0
kıvrıl	248	
yırt	248	
doy	245	2.0
çeliş	245	1.0
taşla	245	2.0
zikret	243	
özle	242	1.0
teşkilatlan	240	62.0
durakla	240	8.0
titre	240	28.0
yıpran	236	1.0
tertiple	235	
aşıla	234	1.0
hallet	233	
akla	231	
kıs	231	71.0
zamanla	230	
tep	229	1.0
özen	229	165.0
barış	227	36.0
sı	226	
kazın	225	
paketle	224	
danış	217	
abart	216	
zedele	216	2.0
soyun	216	2.0
din	215	97.0
sıyrıl	214	
kuvvetlen	212	212.0
boğuş	212	1.0
tiple	211	
oksitle	210	
serp	210	1.0
diril	206	
akıt	206	1.0
dür	205	
sakın	204	8.0
yalıt	204	
haşla	203	
yeğle	202	
kazı	202	22.0
üfle	201	
ayıkla	201	
sek	201	25.0
lağvet	200	
terle	199	52.0
kabar	199	66.0
zıpla	198	4.0
şiddetlen	197	39.0
çıldır	196	18.0
tat	194	31.0
öfkelen	191	35.0
bıçakla	190	
eski	189	17.0
yu	189	
lanetle	189	
endişelen	189	44.0
bölüş	188	88.0
damıt	188	
yıl	187	95.0
buyur	187	
evril	187	1.0
öpüş	186	1.0
hesaplaş	186	
süpür	185	
garantile	183	
ergi	183	65.0
kirlet	183	
cesaretlen	182	163.0
dirilt	181	1.0
silahsızlan	181	68.0
emzir	181	
başkaldır	181	
takın	179	
gülümse	178	10.0
yıprat	177	
çırp	177	
kamulaştır	176	
yanıtla	176	
gezin	176	1.0
utan	175	30.0
büyüle	173	
cevapla	172	
ever	168	18.0
puanla	168	
eyle	168	1.0
ezberle	165	7.0
otla	164	103.0
incel	163	59.0
eşitle	163	
sömür	162	
arzula	161	
bilinçlen	160	111.0
cay	159	78.0
oyala	158	
katla	158	
doğra	157	
sez	157	23.0
sıva	156	
esirge	156	
alevlen	155	38.0
kenetle	152	
demirle	152	1.0
kuşkulan	152	15.0
seviş	151	1.0
kavur	149	
sansürle	149	1.0
çatla	149	22.0
sav	148	
klonla	147	
yadsı	147	
çimlen	147	35.0
az	146	11.0
selamla	144	1.0
delir	144	28.0
bık	143	6.0
kolla	143	
sürü	142	4.0
mayala	142	
çöker	140	138.0
sürtüş	140	
tamla	138	
alıkoy	138	
kok	138	
fışkır	138	32.0
ağaçlan	137	134.0
genleş	137	7.0
etiketle	137	
daralt	137	
mektuplaş	134	
doyur	133	
ona	132	
yasla	132	
becer	131	
kavrul	130	
kovuştur	130	
yen(I)	130	
cezbet	127	
haykır	127	
resimle	126	1.0
listele	126	
pompala	126	
kırp	125	
yağla	125	1.0
rahatsızlan	124	
yont	124	
alkışla	122	
benzeş	122	14.0
üslen	122	2.0
yükseltgen	121	2.0
gereksin	120	
dizile	120	
tart	118	1.0
çarpıt	117	1.0
körükle	116	
ısmarla	116	
tuzakla	115	
toprakla	115	
bahşet	114	
yer	114	
karala	113	
sivril	112	
esne	112	28.0
savrul	112	
buy	111	
etki	111	
övün	110	
titreş	109	22.0
der	109	
yasa	108	3.0
atış	106	14.0
apar	106	44.0
kuşan	106	
neşret	106	1.0
dala	105	
azmet	104	69.0
addet	103	
şaş	102	
mahvet	102	
değerle	100	
kundakla	99	
büz	99	
kucakla	99	
zonkla	99	
vazgeçir	98	2.0
damla	98	51.0
incit	98	
doğrult	98	
yedekle	98	
sürt	97	3.0
mevzilen	97	7.0
mühürle	96	1.0
savur	96	
bunal	96	
buda	94	
dayat	94	
arşivle	94	
ışınla	94	
hırpala	93	
çeşitle	93	
öt	93	4.0
genelle	93	
bayılt	92	
özümse	92	3.0
frenle	91	
filizle	91	
mumyala	91	
burk	91	
coş	91	32.0
solu	90	4.0
kokla	90	5.0
tümle	90	
damgala	89	1.0
yakınsa	89	
çökel	89	20.0
uğurla	89	
kışla	89	1.0
hapsol	88	
çalkala	87	
daya	87	
yeşer	87	10.0
tükür	86	
eksil	85	
kutuplaş	85	7.0
kamaş	84	74.0
devşir	84	
hicvet	84	
indükle	84	
istifle	83	
bert	83	
yoğrul	83	
kapış	83	3.0
donan	82	
sikle	81	80.0
perçinle	81	
eşle	81	1.0
fırınla	81	
gölgele	80	
kümelen	79	2.0
doku	79	2.0
iliş	79	58.0
ağar	79	21.0
bile	79	1.0
kızış	78	15.0
umursa	78	
azarla	78	
şakı	77	
müjdele	77	
örtün	77	
turla	77	
susa	76	
kayır	76	
çel	76	
kötüle	76	
ov	75	
ışılda	75	2.0
yoğur	75	1.0
raporla	74	
şişir	74	
körel	73	13.0
küs	73	10.0
yadırga	72	3.0
fısılda	71	
taçlan	71	65.0
yala	71	
gübrele	71	
taşır	70	
alıntıla	69	
tanıtla	69	1.0
yuvala	69	
göğüsle	68	
ilaçla	68	
tatlan	68	66.0
vakfet	68	
aşer	67	
sarar	67	3.0
üşü	67	7.0
öğütle	66	
tavla	65	
tuzla	65	
savuş	65	63.0
makyajla	65	
neticelen	65	9.0
kemir	64	
içir	64	1.0
güneşle	64	
sulan	64	62.0
tanıla	64	
torpille	64	
yol	63	
dilimle	63	
serpiştir	63	
eğir	63	
kıpırda	63	9.0
usan	63	4.0
serinle	62	26.0
stokla	62	
vedalaş	61	
tazele	61	
sönümle	61	
koç	60	
fotoğrafla	60	
gücen	60	26.0
paslan	59	5.0
kaygılan	59	16.0
inle	59	8.0
zincirle	59	1.0
dona	59	
yavrula	59	1.0
sağ	59	
mahmuzla	59	
hareketlen	58	58.0
azımsa	58	
ayıl	58	7.0
elver	58	
duraksa	57	2.0
ikile	57	
aşır	57	28.0
ayart	56	
seyrel	55	35.0
bocala	55	1.0
yakar	55	
maskele	55	
kireçle	54	
şenlen	54	45.0
vadet	54	
eklemle	54	
çınla	54	2.0
zulmet	54	
sırtla	53	
düşle	53	
arızalan	53	
havla	53	
çat	53	
pozla	52	
bütünle	52	
ufala	51	
sataş	51	
presle	51	
içerle	51	
katalogla	51	
sıyır	50	2.0
ürk	50	
mahvol	50	
aldan	50	
yapraklan	50	1.0
cilala	50	
kükre	50	
yun	50	
dire	49	
kırbaçla	49	12.0
şişele	49	
yort	49	
parılda	48	1.0
bölümle	48	
melezle	48	
kıvran	48	1.0
isle	48	17.0
yelten	48	
ölçekle	48	
yankıla	48	
okşa	48	
şükret	48	
heyecanlan	47	47.0
kurşunla	47	
uçuş	47	1.0
rendele	46	
asfaltla	46	1.0
sinirlen	46	46.0
düğümle	46	
ölçüş	46	
bordala	45	
akset	45	32.0
arala	45	
kucaklaş	44	1.0
güdümle	44	
köpür	44	9.0
ekşi	44	15.0
demle	44	
işe	44	1.0
tabakla	44	
çaprazla	43	
kümele	43	
incin	43	
kıvır	43	1.0
bez	42	20.0
gerçekle	42	1.0
yaşar	42	3.0
dizginle	42	
kotar	42	3.0
bitiş	42	17.0
tüt	42	9.0
sarkıt	42	
horla	42	1.0
ıskala	42	
kak	41	
çırpın	41	
öykün	41	
telaşlan	41	13.0
lekele	41	
kara	41	28.0
ürküt	41	
il	41	
uslan	40	3.0
yüreklen	40	37.0
tersin	40	
lehimle	40	
baltala	40	
diret	40	
kaşı	40	
tüne	40	
yoksun	40	
ulu	40	
yeşillen	40	27.0
devin	39	2.0
ucuzla	39	7.0
tekmele	39	
eksilt	39	
buna	39	
fırçala	39	
ambalajla	38	
buzlan	38	
akaçla	38	
mırıldan	38	
nemlen	38	24.0
montajla	38	
kon(II)	38	
konumla	38	
gev	38	
hazmet	37	3.0
bileş	37	14.0
doğrul	37	1.0
ıraksa	37	
kökleş	37	4.0
büyült	37	
alıkonul	37	
koşuş	37	31.0
tiksin	37	5.0
yuhala	37	1.0
taşın	37	1.0
postala	36	
dola	36	2.0
sersemle	36	23.0
perdele	36	
grupla	36	
tomurcuklan	35	
duyumsa	35	2.0
geçiş	35	25.0
ölçümle	35	
tütsüle	34	
tık	34	2.0
iğnele	34	
ayıpla	34	
sarmala	34	
düz	34	
emekle	34	
kar	34	
kaçış	33	
çatallan	33	1.0
acık	33	1.0
eş	33	
ota	33	
harla	33	
kımılda	33	3.0
iğren	32	2.0
palazla	32	
eğril	32	
hançerle	32	6.0
ağrı	32	9.0
boğumla	32	
öksür	32	
evir	31	
tırmala	31	
mıknatıslan	31	
şımar	31	23.0
yit	31	1.0
duygulan	31	10.0
yeniş	31	
sün	31	4.0
kamçıla	31	
sigortala	30	2.0
bun	30	
avut	30	
sabırsızlan	30	
meylet	30	1.0
sayıkla	30	
tasla	30	
mükâfatlandır	30	
gürle	30	1.0
doluş	29	
irkil	29	4.0
tökezle	29	
pus	29	
beyazlat	29	
gıdıkla	29	
sabret	29	
didiş	28	
yed	28	
vuruş	28	1.0
kokuş	28	
hopla	28	3.0
sızla	27	1.0
hakket	27	1.0
uslamla	27	
yokla	27	
sın	27	
karıncalan	27	1.0
belle	26	11.0
yama	26	
methet	26	
gagala	26	
çömel	26	
yumrukla	26	
tartakla	26	1.0
hapşır	26	
mele	26	11.0
büzüş	26	1.0
özümle	26	1.0
çivile	25	
söv	25	
eşele	25	
buğula	25	
küfret	25	
ban	25	
tokatla	25	
vasıflan	25	24.0
tohumla	25	
ötele	25	
defet	25	
tüylen	24	2.0
sıfırla	24	
yutkun	24	
kekele	24	
imle	24	
deş	24	
dürt	24	
açkıla	24	
uyukla	23	
imren	23	3.0
çıkış	23	
katıl	23	
vazifelendir	23	
zıtlaş	23	
çerçevele	23	1.0
sendele	23	
parselle	23	1.0
hecele	23	
örsele	23	
ortala	23	
törpüle	23	
kurcala	23	
hasret	22	
gecele	22	
dikleş	22	9.0
dörtle	22	
hikâyele	22	
terasla	22	
ay	21	
panikle	21	
alar	21	
vergile	21	
bulgula	21	
tezgâhla	20	
boğazla	20	1.0
paslaş	20	
kanıksa	20	
didin	20	
afalla	20	2.0
çalımla	20	
üstele	20	
ihtisaslaş	20	
közle	20	
düzle	20	4.0
göçür	20	
yükseltge	20	
dil	20	
neşelen	20	14.0
tınla	20	2.0
artakal	20	
böbürlen	20	
yalpala	19	
paralelleştir	19	
dosyala	19	
elle	19	15.0
avun	19	
azlolun	19	
zımparala	19	1.0
kert	19	
selamlaş	19	
akdet	19	
haczet	19	4.0
kelepçele	19	
hayıflan	19	
dadan	19	
bürü	19	
ıh	18	
defol	18	
göze	18	
sevdalan	18	
nicele	18	
özdeştir	18	
düze	18	4.0
yaldızla	18	
sivrilt	18	
şahlan	18	2.0
sıvazla	18	
bulan	18	18.0
silkin	18	
öyküle	18	
ferahla	17	9.0
gülüş	17	
bastır	17	17.0
sezinle	17	
haddele	17	
dağla	17	2.0
miyavla	17	
ula	17	
numarala	17	
hortla	17	3.0
böğür	17	
mayınla	17	1.0
söyleş	17	
seğir	17	6.0
kalıpla	17	
dalaş	17	
bakın	17	
süblimleş	17	
ürper	16	7.0
dinamitle	16	
öncele	16	
çullan	16	
geber	16	2.0
çekil	16	
ufal	16	6.0
kudur	16	2.0
odaklaş	16	4.0
gururlan	16	8.0
bunalt	16	
külle	16	
şakalaş	16	
tozlan	16	1.0
kamplaş	15	1.0
gölgelen	15	15.0
ılı	15	4.0
ciltle	15	3.0
ağ	15	
yetir	15	
tersle	15	
buruş	15	6.0
homurdan	15	
bayramlaş	15	
gıcırda	14	5.0
solla	14	
oranla	14	
bodosla	14	
bozuş	14	
hıçkır	14	
doğaçla	14	
fişle	14	
silkele	14	
depreş	14	2.0
morar	14	
sayımla	14	
nikâhla	14	1.0
çatırda	14	1.0
yaftala	14	
heveslen	14	5.0
menet	13	
üşüş	13	
topaklan	13	
takış	13	
şişmanla	13	3.0
balla	13	2.0
tuşla	13	
kırk	13	
kahret	13	
bandır	13	
dit	13	
sırıt	13	
hatmet	13	
yon	13	
hırla	13	
boşla	13	
pulla	13	1.0
küflen	12	
kurula	12	
hiddetlen	12	
hırslan	12	6.0
yaraş	12	
oynaş	12	
perdahla	12	
yemle	12	
kahrol	12	
suvar	12	
tamponla	12	
kıllan	12	
formatla	12	
geğir	12	
saçmala	12	
itiş	12	
ispiyonla	12	
kazıkla	11	
köhne	11	
sürç	11	1.0
toz	11	
ihtiyarla	11	1.0
ovuştur	11	
hallol	11	
kırış	11	3.0
endeksle	11	
kefenle	11	
çeşnile	11	
sırla	11	
on	11	
garipse	11	
üsten	11	
rüzgârla	11	
haydala	11	
sallandır	11	
süngüle	11	
itekle	11	
gönen	11	
alazla	10	
akortla	10	
markala	10	
cisimlen	10	1.0
nakşet	10	
topalla	10	
ütüle	10	
mimle	10	
debelen	10	
tepele	10	
kalayla	10	
dertleş	10	
bört	10	
fiyatla	10	
bekin	10	
klorla	10	
bağrış	10	
vazet	10	1.0
yamul	10	3.0
ornat	10	
bulutlan	10	
berkit	10	
körlen	10	
üfür	10	
tokuş	10	6.0
kutula	10	
sağalt	10	
dinel	10	
marjinalleş	10	4.0
hüzünlen	10	1.0
sayfala	10	
vahyolun	10	
defnolun	10	
durula	10	
darbet	10	2.0
tokalaş	10	
zırhlandır	9	
çoksa	9	9.0
değir	9	
adımla	9	
hazzet	9	
ofla	9	
tortulan	9	
acındır	9	
katış	9	7.0
antlaş	9	
dövün	9	
vakumla	9	
boyla	9	
kibirlen	9	1.0
kişne	9	3.0
mıhla	9	
didikle	9	
ayakla	9	
pisle	9	3.0
savla	9	
çığır	9	
zırhlan	9	
pohpohla	9	
tısla	9	
darıl	9	1.0
lezzetlen	9	6.0
ovala	9	
köstekle	9	
kamala	9	
vidala	9	
tasarımla	9	
ilikle	9	
rastlaş	9	
cızla	8	
tepin	8	
şakla	8	4.0
kıkırda	8	
yarıla	8	
yayla	8	
imgele	8	
helalleş	8	
makasla	8	
birle	8	
ılga	8	
ebele	8	
güdüle	8	
kumla	8	
irk	8	
şişle	8	1.0
sayış	8	
vernikle	8	
sıvış	8	
gocun	8	2.0
evetle	8	
çoğulla	8	
affolun	8	
üşen	8	
bay	8	
bakış	8	
tekle	8	
uğulda	8	
anıştır	8	
nasbet	8	
eğle	8	
başka	8	
ıslıkla	8	
lütfet	8	
uzaksa	8	
peydahla	8	
azıt	7	
patakla	7	
tıraşla	7	
pıs	7	
süratlen	7	
yumruklaş	7	
puslan	7	1.0
vızılda	7	
frezele	7	
omuzla	7	
okla	7	
yığış	7	
pençeleş	7	
çalka	7	
bayatla	7	1.0
süs	7	
balyala	7	
inatlaş	7	
dizinle	7	
semir	7	2.0
oydaş	7	
ıkın	7	
sonla	7	
astarla	7	
öğür	6	
ulula	6	
pudrala	6	
çekiçle	6	
çağ	6	
çim	6	
ilen	6	
yudumla	6	1.0
ged	6	
iletiş	6	
berele	6	
çağla	6	
yansıla	6	
jurnalle	6	
yellen	6	
sancılan	6	
bantla	6	
sargıla	6	
yaylan	6	
gerin	6	
gevele	6	
yağmurla	6	
üleş	6	6.0
kaytar	6	
çöreklen	6	
gümrükle	6	
bekleş	6	
küfürleş	6	
torbala	6	
cepheleş	6	
üt	6	
hakla	6	
yas	6	
malala	6	
çap	6	
tembihle	6	
sabahla	6	
galvanizle	6	
hidrojenle	6	
çav	6	
süslen	6	6.0
eğele	6	
bele	6	
çiftle	6	
faturala	6	
faksla	6	
budaklan	6	
başakla	6	
soluklan	6	
payla	6	
kokut	6	
kırın	6	
esinlen	6	6.0
yangılan	5	
sapıt	5	
belirt	5	5.0
yamal	5	
sobele	5	
itele	5	
ırgan	5	
çelikle	5	
katranla	5	
aksır	5	1.0
çöğ	5	
neşrolun	5	
çapala	5	
randevulaş	5	
gasbet	5	
savul	5	
dercet	5	
nalla	5	
yalazla	5	
dürtükle	5	
sanç	5	
hislen	5	2.0
gammazla	5	
deneyle	5	
çisele	5	
tanıt	5	5.0
koyult	5	
halkala	5	
tutkalla	5	
kükürtle	5	
bırakış	5	
hayla	5	
özdeşle	5	
sarmaş	5	
denkle	5	
tapula	5	
göçer	5	5.0
esri	5	
koyver	5	
üçle	5	
sesle	5	4.0
mumla	5	
uçukla	5	4.0
koca	5	
siy	4	
silola	4	
tıngırda	4	3.0
sonuçla	4	
fokurda	4	
