lemma	frequency
nitelen	1832
örgütle	1829
dinle	1826
gözlemle	1822
sar	1817
parçala	1808
eriş	1803
gözle	1789
avla	1763
hatırla	1749
sula	1727
esinle	1707
gez	1695
yüz	1692
beğen	1690
dik	1675
düzel	1651
vurgula	1636
takıl	1635
güçlen	1626
dene	1615
boşa	1610
as	1577
iç	1572
sıkış	1563
öğret	1536
fırla	1526
fethet	1516
ilet	1486
kap	1456
devret	1454
kork	1447
doğur	1443
dinlen	1433
kalkın	1417
sığın	1404
temizle	1397
depola	1396
görüş	1382
yet	1354
betimle	1339
gözük	1337
em	1336
süsle	1333
tüken	1331
eri	1315
yolla	1314
kısıtla	1312
hedefle	1307
oyla	1284
ada	1280
çoğal	1274
tekrarla	1270
bin	1268
kop	1260
emret	1249
it	1248
sorgula	1239
sil	1236
uyar	1231
odakla	1223
tak	1217
denetle	1217
pazarla	1210
doğrula	1204
soruştur	1194
ayarla	1186
döv	1180
kov	1178
yara	1174
bat	1171
zayıfla	1160
dokun	1149
gecik	1144
programla	1137
gider	1136
pişir	1135
kuru	1112
eşleş	1111
defnet	1110
faydalan	1106
gizle	1088
püskür	1086
donat	1064
eğ	1051
tepki	1038
birik	1038
varsay	1024
kaçın	1014
boşalt	1012
sürükle	1007
sınırla	1006
çekiş	990
eğit	982
aydınlat	982
andır	979
ısıt	969
güncelle	961
gerile	946
devral	934
seyret	931
ört	923
güven	915
dile	915
yağmala	899
kopar	898
ateşle	884
çözümle	872
ünle	863
bağışla	861
hoşlan	861
alış	850
boya	847
boğ	845
zehirle	838
batır	838
tırman	835
uyu	833
naklet	832
bombala	828
ısın	828
ayrış	822
uzlaş	820
görüntüle	810
diz	808
ez	807
kana	802
ertele	799
kodla	799
sız	798
feshet	796
don	779
ger	772
aydınlan	768
bulaş	766
ilişkilendir	765
dal	763
şaşır	759
resmet	756
şifrele	745
um	744
simgele	733
katlet	732
karşılaştır	731
haberleş	728
değin	723
kavra	720
çevrele	719
öv	717
ağla	713
küçül	713
yıka	708
çiftleş	704
sakatla	703
onar	696
azlet	693
tutun	691
güt	686
çözün	676
hapset	671
aşın	668
kesiş	667
sus	665
sök	664
devril	662
devir	650
kayna	650
özetle	647
göç	647
affet	645
arın	640
indirge	636
sars	635
yavaşla	633
sıçra	632
boşal	629
yar	629
sön	625
kaz	623
kız	620
konuşlan	619
parla	619
konakla	601
saç	592
bürün	591
toparla	587
oy	584
çekin	583
salgıla	582
katlan	581
ispatla	574
gül	572
kastet	571
iv	570
yapış	569
kıyasla	552
işit	549
çürü	545
bağır	544
ör	539
noktala	534
havalan	531
kaynaş	519
işaretle	517
hükmet	510
nitele	509
atfet	506
geçin	503
pekiş	499
üz	496
ek	496
kopyala	489
hastalan	487
yut	473
ser	470
sına	470
yatır	470
salla	466
tetikle	466
eğlen	464
onurlan	462
aldat	461
süz	460
biçimlen	459
zannet	458
aşağıla	456
dışla	451
piş	450
döşe	449
yum	448
yığ	448
kaydol	445
bük	442
yinele	441
gözet	441
kına	436
belgele	434
ışı	434
yanaş	433
yumuşa	430
sin	427
tap	427
yetin	427
daral	423
beze	422
dolan	421
ısır	420
dövüş	417
soğu	411
anımsa	410
sürtün	410
çiğne	394
soy	394
bur	390
kan	388
uçur	388
kas	384
düğ	381
soyutla	379
tapın	378
sol	374
dengele	368
sıkıl	367
yazış	365
yumurtla	362
harmanla	361
yor	358
ağırla	351
öp	350
dölle	349
kabullen	347
kovala	346
kurgula	345
gözetle	344
giyin	344
dalgalan	343
soğut	341
uyuş	338
tıka	338
kıy	338
kızar	337
es	337
modelle	336
önemse	334
taş	333
soğur	327
sap	327
kalkış	325
rahatla	324
bağdaş	322
tara	320
yuvarla	319
sapla	315
yakış	314
çak	314
gevşe	311
örtüş	308
kus	307
kışkırt	307
korkut	306
irdele	304
hizala	304
nişanla	304
hafifle	303
biç	303
tutuş	303
kutsa	301
şüphelen	300
şiş	299
yardımlaş	298
sark	293
kilitle	292
alla	290
alçal	289
bula	289
sık	288
arıt	287
ısla	282
aksa	281
yalvar	277
kıskan	277
karar	273
güreş	268
yücel	268
sığ	267
örnekle	266
çakış	264
acı	263
silk	262
yanıl	260
sevin	260
tıkla	259
yatış	259
küçümse	257
öğüt	256
katet	256
bayıl	254
sınıfla	254
salıver	249
çağrış	249
çabala	249
yakın	249
yalanla	248
kıvrıl	248
yırt	248
doy	245
çeliş	245
taşla	245
zikret	243
özle	242
teşkilatlan	240
durakla	240
titre	240
yıpran	236
tertiple	235
aşıla	234
hallet	233
akla	231
kıs	231
zamanla	230
tep	229
özen	229
barış	227
sı	226
kazın	225
paketle	224
danış	217
abart	216
zedele	216
soyun	216
din	215
sıyrıl	214
kuvvetlen	212
boğuş	212
tiple	211
oksitle	210
serp	210
diril	206
akıt	206
dür	205
sakın	204
yalıt	204
haşla	203
yeğle	202
kazı	202
üfle	201
ayıkla	201
sek	201
lağvet	200
terle	199
kabar	199
zıpla	198
şiddetlen	197
çıldır	196
tat	194
öfkelen	191
bıçakla	190
eski	189
yu	189
lanetle	189
endişelen	189
bölüş	188
damıt	188
yıl	187
buyur	187
evril	187
öpüş	186
hesaplaş	186
süpür	185
garantile	183
ergi	183
kirlet	183
cesaretlen	182
dirilt	181
silahsızlan	181
emzir	181
başkaldır	181
takın	179
gülümse	178
yıprat	177
çırp	177
kamulaştır	176
yanıtla	176
gezin	176
utan	175
büyüle	173
cevapla	172
ever	168
puanla	168
eyle	168
ezberle	165
otla	164
incel	163
eşitle	163
sömür	162
arzula	161
bilinçlen	160
cay	159
oyala	158
katla	158
doğra	157
sez	157
sıva	156
esirge	156
alevlen	155
kenetle	152
demirle	152
kuşkulan	152
seviş	151
kavur	149
sansürle	149
çatla	149
sav	148
klonla	147
yadsı	147
çimlen	147
az	146
selamla	144
delir	144
bık	143
kolla	143
sürü	142
mayala	142
çöker	140
sürtüş	140
tamla	138
alıkoy	138
kok	138
fışkır	138
ağaçlan	137
genleş	137
etiketle	137
daralt	137
mektuplaş	134
doyur	133
ona	132
yasla	132
becer	131
kavrul	130
kovuştur	130
yen(I)	130
cezbet	127
haykır	127
resimle	126
listele	126
pompala	126
kırp	125
yağla	125
rahatsızlan	124
yont	124
alkışla	122
benzeş	122
üslen	122
yükseltgen	121
gereksin	120
dizile	120
tart	118
çarpıt	117
körükle	116
ısmarla	116
tuzakla	115
toprakla	115
bahşet	114
yer	114
karala	113
sivril	112
esne	112
savrul	112
buy	111
etki	111
övün	110
titreş	109
der	109
yasa	108
atış	106
apar	106
kuşan	106
neşret	106
dala	105
azmet	104
addet	103
şaş	102
mahvet	102
değerle	100
kundakla	99
büz	99
kucakla	99
zonkla	99
vazgeçir	98
damla	98
incit	98
doğrult	98
yedekle	98
sürt	97
mevzilen	97
mühürle	96
savur	96
bunal	96
buda	94
dayat	94
arşivle	94
ışınla	94
hırpala	93
çeşitle	93
öt	93
genelle	93
bayılt	92
özümse	92
frenle	91
filizle	91
mumyala	91
burk	91
coş	91
solu	90
kokla	90
tümle	90
damgala	89
yakınsa	89
çökel	89
uğurla	89
kışla	89
hapsol	88
çalkala	87
daya	87
yeşer	87
tükür	86
eksil	85
kutuplaş	85
kamaş	84
devşir	84
hicvet	84
indükle	84
istifle	83
bert	83
yoğrul	83
kapış	83
donan	82
sikle	81
perçinle	81
eşle	81
fırınla	81
gölgele	80
kümelen	79
doku	79
iliş	79
ağar	79
bile	79
kızış	78
umursa	78
azarla	78
şakı	77
müjdele	77
örtün	77
turla	77
susa	76
kayır	76
çel	76
kötüle	76
ov	75
ışılda	75
yoğur	75
raporla	74
şişir	74
körel	73
küs	73
yadırga	72
fısılda	71
taçlan	71
yala	71
gübrele	71
taşır	70
alıntıla	69
tanıtla	69
yuvala	69
göğüsle	68
ilaçla	68
tatlan	68
vakfet	68
aşer	67
sarar	67
üşü	67
öğütle	66
tavla	65
tuzla	65
savuş	65
makyajla	65
neticelen	65
kemir	64
içir	64
güneşle	64
sulan	64
tanıla	64
torpille	64
yol	63
dilimle	63
serpiştir	63
eğir	63
kıpırda	63
usan	63
serinle	62
stokla	62
vedalaş	61
tazele	61
sönümle	61
koç	60
fotoğrafla	60
gücen	60
paslan	59
kaygılan	59
inle	59
zincirle	59
dona	59
yavrula	59
sağ	59
mahmuzla	59
hareketlen	58
azımsa	58
ayıl	58
elver	58
duraksa	57
ikile	57
aşır	57
ayart	56
seyrel	55
bocala	55
yakar	55
maskele	55
kireçle	54
şenlen	54
vadet	54
eklemle	54
çınla	54
zulmet	54
sırtla	53
düşle	53
arızalan	53
havla	53
çat	53
pozla	52
bütünle	52
ufala	51
sataş	51
presle	51
içerle	51
katalogla	51
sıyır	50
ürk	50
mahvol	50
aldan	50
yapraklan	50
cilala	50
kükre	50
yun	50
dire	49
kırbaçla	49
şişele	49
yort	49
parılda	48
bölümle	48
melezle	48
kıvran	48
isle	48
yelten	48
ölçekle	48
yankıla	48
okşa	48
şükret	48
heyecanlan	47
kurşunla	47
uçuş	47
rendele	46
asfaltla	46
sinirlen	46
düğümle	46
ölçüş	46
bordala	45
akset	45
arala	45
kucaklaş	44
güdümle	44
köpür	44
ekşi	44
demle	44
işe	44
tabakla	44
çaprazla	43
kümele	43
incin	43
kıvır	43
bez	42
gerçekle	42
yaşar	42
dizginle	42
kotar	42
bitiş	42
tüt	42
sarkıt	42
horla	42
ıskala	42
kak	41
çırpın	41
öykün	41
telaşlan	41
lekele	41
kara	41
ürküt	41
il	41
uslan	40
yüreklen	40
tersin	40
lehimle	40
baltala	40
diret	40
kaşı	40
tüne	40
yoksun	40
ulu	40
yeşillen	40
devin	39
ucuzla	39
tekmele	39
eksilt	39
buna	39
fırçala	39
ambalajla	38
buzlan	38
akaçla	38
mırıldan	38
nemlen	38
montajla	38
kon(II)	38
konumla	38
gev	38
hazmet	37
bileş	37
doğrul	37
ıraksa	37
kökleş	37
büyült	37
alıkonul	37
koşuş	37
tiksin	37
yuhala	37
taşın	37
postala	36
dola	36
sersemle	36
perdele	36
grupla	36
tomurcuklan	35
duyumsa	35
geçiş	35
ölçümle	35
tütsüle	34
tık	34
iğnele	34
ayıpla	34
sarmala	34
düz	34
emekle	34
kar	34
kaçış	33
çatallan	33
acık	33
eş	33
ota	33
harla	33
kımılda	33
iğren	32
palazla	32
eğril	32
hançerle	32
ağrı	32
boğumla	32
öksür	32
evir	31
tırmala	31
mıknatıslan	31
şımar	31
yit	31
duygulan	31
yeniş	31
sün	31
kamçıla	31
sigortala	30
bun	30
avut	30
sabırsızlan	30
meylet	30
sayıkla	30
tasla	30
mükâfatlandır	30
gürle	30
doluş	29
irkil	29
tökezle	29
pus	29
beyazlat	29
gıdıkla	29
sabret	29
didiş	28
yed	28
vuruş	28
kokuş	28
hopla	28
sızla	27
hakket	27
uslamla	27
yokla	27
sın	27
karıncalan	27
belle	26
yama	26
methet	26
gagala	26
çömel	26
yumrukla	26
tartakla	26
hapşır	26
mele	26
büzüş	26
özümle	26
çivile	25
söv	25
eşele	25
buğula	25
küfret	25
ban	25
tokatla	25
vasıflan	25
tohumla	25
ötele	25
defet	25
tüylen	24
sıfırla	24
yutkun	24
kekele	24
imle	24
deş	24
dürt	24
açkıla	24
uyukla	23
imren	23
çıkış	23
katıl	23
vazifelendir	23
zıtlaş	23
çerçevele	23
sendele	23
parselle	23
hecele	23
örsele	23
ortala	23
törpüle	23
kurcala	23
hasret	22
gecele	22
dikleş	22
dörtle	22
hikâyele	22
terasla	22
ay	21
panikle	21
alar	21
vergile	21
bulgula	21
tezgâhla	20
boğazla	20
paslaş	20
kanıksa	20
didin	20
afalla	20
çalımla	20
üstele	20
ihtisaslaş	20
közle	20
düzle	20
göçür	20
yükseltge	20
dil	20
neşelen	20
tınla	20
artakal	20
böbürlen	20
yalpala	19
paralelleştir	19
dosyala	19
elle	19
avun	19
azlolun	19
zımparala	19
kert	19
selamlaş	19
akdet	19
haczet	19
kelepçele	19
hayıflan	19
dadan	19
bürü	19
ıh	18
defol	18
göze	18
sevdalan	18
nicele	18
özdeştir	18
düze	18
yaldızla	18
sivrilt	18
şahlan	18
sıvazla	18
bulan	18
silkin	18
öyküle	18
ferahla	17
gülüş	17
bastır	17
sezinle	17
haddele	17
dağla	17
miyavla	17
ula	17
numarala	17
hortla	17
böğür	17
mayınla	17
söyleş	17
seğir	17
kalıpla	17
dalaş	17
bakın	17
süblimleş	17
ürper	16
dinamitle	16
öncele	16
çullan	16
geber	16
çekil	16
ufal	16
kudur	16
odaklaş	16
gururlan	16
bunalt	16
külle	16
şakalaş	16
tozlan	16
kamplaş	15
gölgelen	15
ılı	15
ciltle	15
ağ	15
yetir	15
tersle	15
buruş	15
homurdan	15
bayramlaş	15
gıcırda	14
solla	14
oranla	14
bodosla	14
bozuş	14
hıçkır	14
doğaçla	14
fişle	14
silkele	14
depreş	14
morar	14
sayımla	14
nikâhla	14
çatırda	14
yaftala	14
heveslen	14
menet	13
üşüş	13
topaklan	13
takış	13
şişmanla	13
balla	13
tuşla	13
kırk	13
kahret	13
bandır	13
dit	13
sırıt	13
hatmet	13
yon	13
hırla	13
boşla	13
pulla	13
küflen	12
kurula	12
hiddetlen	12
hırslan	12
yaraş	12
oynaş	12
perdahla	12
yemle	12
kahrol	12
suvar	12
tamponla	12
kıllan	12
formatla	12
geğir	12
saçmala	12
itiş	12
ispiyonla	12
kazıkla	11
köhne	11
sürç	11
toz	11
ihtiyarla	11
ovuştur	11
hallol	11
kırış	11
endeksle	11
kefenle	11
çeşnile	11
sırla	11
on	11
garipse	11
üsten	11
rüzgârla	11
haydala	11
sallandır	11
süngüle	11
itekle	11
gönen	11
alazla	10
akortla	10
markala	10
cisimlen	10
nakşet	10
topalla	10
ütüle	10
mimle	10
debelen	10
tepele	10
kalayla	10
dertleş	10
bört	10
fiyatla	10
bekin	10
klorla	10
bağrış	10
vazet	10
yamul	10
ornat	10
bulutlan	10
berkit	10
körlen	10
üfür	10
tokuş	10
kutula	10
sağalt	10
dinel	10
marjinalleş	10
hüzünlen	10
sayfala	10
vahyolun	10
defnolun	10
durula	10
darbet	10
tokalaş	10
zırhlandır	9
çoksa	9
değir	9
adımla	9
hazzet	9
ofla	9
tortulan	9
acındır	9
katış	9
antlaş	9
dövün	9
vakumla	9
boyla	9
kibirlen	9
kişne	9
mıhla	9
didikle	9
ayakla	9
pisle	9
savla	9
çığır	9
zırhlan	9
pohpohla	9
tısla	9
darıl	9
lezzetlen	9
ovala	9
köstekle	9
kamala	9
vidala	9
tasarımla	9
ilikle	9
rastlaş	9
cızla	8
tepin	8
şakla	8
kıkırda	8
yarıla	8
yayla	8
imgele	8
helalleş	8
makasla	8
birle	8
ılga	8
ebele	8
güdüle	8
kumla	8
irk	8
şişle	8
sayış	8
vernikle	8
sıvış	8
gocun	8
evetle	8
çoğulla	8
affolun	8
üşen	8
bay	8
bakış	8
tekle	8
uğulda	8
anıştır	8
nasbet	8
eğle	8
başka	8
ıslıkla	8
lütfet	8
uzaksa	8
peydahla	8
azıt	7
patakla	7
tıraşla	7
pıs	7
süratlen	7
yumruklaş	7
puslan	7
vızılda	7
frezele	7
omuzla	7
okla	7
yığış	7
pençeleş	7
çalka	7
bayatla	7
süs	7
balyala	7
inatlaş	7
dizinle	7
semir	7
oydaş	7
ıkın	7
sonla	7
astarla	7
öğür	6
ulula	6
pudrala	6
çekiçle	6
çağ	6
çim	6
ilen	6
yudumla	6
ged	6
iletiş	6
berele	6
çağla	6
yansıla	6
jurnalle	6
yellen	6
sancılan	6
bantla	6
sargıla	6
yaylan	6
gerin	6
gevele	6
yağmurla	6
üleş	6
kaytar	6
çöreklen	6
gümrükle	6
bekleş	6
küfürleş	6
torbala	6
cepheleş	6
üt	6
hakla	6
yas	6
malala	6
çap	6
tembihle	6
sabahla	6
galvanizle	6
hidrojenle	6
çav	6
süslen	6
eğele	6
bele	6
çiftle	6
faturala	6
faksla	6
budaklan	6
başakla	6
soluklan	6
payla	6
kokut	6
kırın	6
esinlen	6
yangılan	5
sapıt	5
belirt	5
yamal	5
sobele	5
itele	5
ırgan	5
çelikle	5
katranla	5
aksır	5
çöğ	5
neşrolun	5
çapala	5
randevulaş	5
gasbet	5
savul	5
dercet	5
nalla	5
yalazla	5
dürtükle	5
sanç	5
hislen	5
gammazla	5
deneyle	5
çisele	5
tanıt	5
koyult	5
halkala	5
tutkalla	5
kükürtle	5
bırakış	5
hayla	5
özdeşle	5
sarmaş	5
denkle	5
tapula	5
göçer	5
esri	5
koyver	5
üçle	5
sesle	5
mumla	5
uçukla	5
koca	5
siy	4
silola	4
tıngırda	4
sonuçla	4
fokurda	4
banla	4
çözüş	4
ene	4
koşulla	4
küre	4
buzağıla	4
kırıt	4
dayanış	4
huysuzlan	4
huylan	4
haccet	4
savsakla	4
kavla	4
sızır	4
kokulan	4
seyreyle	4
gürülde	4
merkezle	4
büyüklen	4
sekile	4
kıvılcımlan	4
cebelleş	4
tün	4
ürü	4
alaşımla	4
tasalan	4
rampala	4
kızakla	4
yel	4
tın	4
sepile	4
ut	4
kılıfla	4
kabuklan	4
ayrımla	4
nazlan	4
efsunla	4
nakışla	4
tomur	4
kubar	4
biliş	4
keyiflen	4
kubaş	4
çapulla	4
göy	4
genel	4
otala	4
kırpış	4
hükmolun	4
çevrin	3
harekele	3
şartla	3
kederlen	3
karbonatla	3
zimmetle	3
sarsala	3
tosla	3
sağal	3
ödünçle	3
yadımla	3
şenel	3
zikrolun	3
devrolun	3
örnekse	3
kargı	3
kep	3
kafesle	3
menevişle	3
pörsü	3
demetlen	3
hararetlen	3
parala	3
tabet	3
nötrle	3
köpüklen	3
beşle	3
masset	3
dilen	3
yazla	3
sürgüle	3
briketle	3
keyfet	3
halet	3
fitille	3
alçıla	3
gümbürde	3
hortumla	3
zamkla	3
çevrile	3
alakalan	3
üş	3
yerin	3
rötuşla	3
jiletle	3
mürekkeple	3
ocu	3
eser	3
esir	3
fısıldaş	3
arşınla	3
mırla	3
kesele	3
çapkı	3
nefyet	3
karele	3
gazla	3
yalabı	3
tüy	3
açımla	3
ergür	3
sürün	3
sopala	3
bereketlen	3
dönen	3
açın	3
ötüş	3
zımbala	3
haşılla	3
badanala	3
celbet	3
bağda	3
kakış	3
tavsa	3
çiziktir	3
yaltaklan	3
tornala	3
ensele	3
yaslan	2
çulla	2
uğun	2
yarlıga	2
kepeklen	2
takırda	2
kaşele	2
boyala	2
çimdikle	2
çuvalla	2
kalburla	2
gevre	2
nihayetlen	2
muştula	2
özgüle	2
mıncıkla	2
renkle	2
nurlan	2
şampuanla	2
pırılda	2
tanele	2
dişle	2
çağılda	2
serdet	2
öze	2
sabunla	2
örgüle	2
zamlan	2
çıtla	2
gedil	2
çırçırla	2
kavza	2
sümkür	2
vakla	2
şıngırda	2
nasiplen	2
hırılda	2
karı	2
hamlet	2
nazmet	2
kocal	2
esle	2
bekit	2
ödeş	2
şakra	2
anıkla	2
rutubetlen	2
tımarla	2
eyerle	2
kâğıtla	2
yelle	2
güneşlen	2
yassıl	2
bileyle	2
ırala	2
dikizle	2
darbele	2
arakla	2
siperlen	2
sifonla	2
uzat	2
ilmekle	2
tırmıkla	2
cevret	2
şırılda	2
sekit	2
vınla	2
sayla	2
siyanürle	2
sırı	2
bandajla	2
çelmele	2
zıpkınla	2
ümitlen	2
dipçikle	2
anır	2
diklen	2
parametrele	2
vehmet	2
alala	2
notala	2
kancala	2
sepele	2
tasnifle	2
kinlen	2
polar	2
çent	2
şerbetle	2
beneklen	2
parmakla	2
süzgeçle	2
koklaş	2
yongala	2
guslet	2
bölgele	2
kırkla	2
okra	2
tıkırda	2
pürüzlen	2
dikel	2
soğanla	2
efkârlan	2
osur	2
çöm	2
gümüşle	2
açıl	2
kıp	2
somur	2
röntgenle	2
orantıla	2
kürü	2
desenle	2
topakla	2
titizlen	2
ahdet	2
erginle	2
kaşın	2
kaşan	2
destele	2
barikatla	2
yivle	2
kıskaçla	2
kürne	2
deşele	2
ırgala	2
üzengile	1
yelpazele	1
sislen	1
gıdakla	1
mırılda	1
topukla	1
kolala	1
mayış	1
gaslet	1
esenle	1
terbiyele	1
yoğurtla	1
aban	1
sancı	1
sığa	1
köpüle	1
orsala	1
buğzet	1
tırs	1
zırvala	1
ılıştır	1
apazla	1
kesbet	1
avuçla	1
boşat	1
hışırda	1
savakla	1
çemre	1
masajla	1
gırtlakla	1
şekerle	1
addolun	1
harfle	1
lafla	1
şapırda	1
hafifse	1
teyelle	1
durul	1
meleş	1
kütürde	1
şutla	1
çöğün	1
kanır	1
bütçele	1
oynat	1
çayırla	1
reddeyle	1
mutlan	1
bollan	1
titret	1
güdele	1
abra	1
sıcakla	1
domal	1
tirele	1
tangırda	1
siyahlat	1
düğmele	1
hiçle	1
cumbala	1
çitle	1
kolayla	1
arkala	1
zırla	1
yülü	1
tipile	1
günüle	1
sik	1
tıkış	1
taharetlen	1
tüple	1
raptet	1
azotla	1
büyükse	1
cızırda	1
emreyle	1
çocukla	1
cemet	1
kemerle	1
yanşa	1
sepetle	1
çekimle	1
zannolun	1
dazla	1
sarımsakla	1
havuzla	1
kredile	1
sarın	1
talanla	1
raspala	1
kaşarlan	1
dökün	1
merhabalaş	1
şaşala	1
dehle	1
kulaçla	1
fıkırda	1
yokumsa	1
planyala	1
kuşakla	1
rakamla	1
gurulda	1
ayrımsa	1
tıpala	1
böceklen	1
ödünle	1
tıkın	1
vızla	1
kınala	1
soruş	1
mineralleştir	1
gemle	1
pırtla	1
tabakala	1
hohla	1
minele	1
gadret	1
tırnakla	1
şırla	1
sıvala	1
zıngırda	1
dumanla	1
vıcırda	1
ayla	1
toslaş	1
çıtırda	1
sokuş	1
tomrukla	1
harelen	1
unla	1
cüretlen	1
tayyet	1
poşetle	1
sızdır	1
açınsa	1
tayla	1
cıv	1
akçala	1
çit	1
elektrikle	1
cıyakla	1
sıkıla	1
sabreyle	1
şarla	1
betelen	1
hasırla	1
apış	1
çentikle	1
tırpanla	1
ilintile	1
kahırlan	1
karşıtla	1
tekerle	1
bozla	1
ambarla	1
kılavuzla	1
koltukla	1
ahzet	1
afişle	1
pakla	1
kısımla	1
konukla	1
camla	1
tokmakla	1
eyit	1
yırla	1
pörtle	1
çile	1
payandala	1
emiş	1
tebeşirle	1
çaşıtla	1
işkillen	1
kalafatla	1
şeritle	1
kakala	1
mıknatısla	1
kuzula	1
yamala	1
aprele	1
deyiver	1
karmaş	1
recmet	1
gerekse	1
seyirt	1
gidiş	1
ağna	1
zehret	1
çıv	1
alacala	1
soyla	1
parafla	1
feyzal	1
nakşol	1
sikkele	1
çapraş	1
sürüştür	1
eğleş	1
lağvol	1
kılıçla	1
harcet	1
tünekle	1
varakla	1
afsunla	1
çivitle	1
türet	1
fışırda	1
ötür	1
atlat	1
karışla	1
hıfzet	1
silahla	1
zenginle	1
durala	1
faslet	1
küçükse	1
